省,市,区,全名,别名,性质,等级
江苏省,淮安市,洪泽县,江苏省洪泽农场医院,江苏省洪泽农场医院,公立/综合医院,未知
江苏省,淮安市,洪泽县,洪泽县供电局诊所,洪泽县供电局诊所,民营/综合医院,未知
江苏省,淮安市,洪泽县,洪泽县城南社区门诊,洪泽县城南社区门诊,公立/综合医院,未知
江苏省,淮安市,洪泽县,洪泽县蒋坝镇卫生院,洪泽县蒋坝镇卫生院,公立/综合医院,一级乙等
江苏省,淮安市,洪泽县,洪泽县妇幼保健院,洪泽县妇幼保健院,公立/综合医院,一级甲等
江苏省,淮安市,洪泽县,洪泽县共和镇卫生院,洪泽县共和镇卫生院,公立/综合医院,一级甲等
江苏省,淮安市,洪泽县,洪泽县岔河镇中心卫生院,洪泽县岔河镇中心卫生院,公立/综合医院,一级甲等
江苏省,淮安市,洪泽县,洪泽县万集镇卫生院,洪泽县万集镇卫生院,公立/综合医院,一级甲等
江苏省,淮安市,洪泽县,洪泽县东双沟镇中心卫生院,洪泽县东双沟镇中心卫生院,公立/综合医院,一级甲等
江苏省,淮安市,洪泽县,洪泽县黄集镇娄赵村卫生院,洪泽县黄集镇娄赵村卫生院,公立/综合医院,一级甲等
江苏省,淮安市,洪泽县,洪泽县三河镇卫生院,洪泽县三河镇卫生院,公立/综合医院,一级甲等
江苏省,淮安市,洪泽县,淮安市洪泽县老子山镇卫生院,淮安市洪泽县老子山镇卫生院,公立/综合医院,一级甲等
江苏省,淮安市,洪泽县,洪泽县仁和镇卫生院,洪泽县仁和镇卫生院,公立/综合医院,一级甲等
江苏省,淮安市,洪泽县,洪泽县高涧镇卫生院,洪泽县高涧镇卫生院,公立/综合医院,一级甲等
江苏省,淮安市,洪泽县,洪泽县西顺河镇卫生院,洪泽县西顺河镇卫生院,公立/综合医院,一级甲等
江苏省,淮安市,洪泽县,洪泽县中医院,洪泽县中医院,公立/综合医院,二级甲等
江苏省,淮安市,洪泽县,洪泽县人民医院,洪泽县人民医院,公立/综合医院,二级甲等
