省,市,区,全名,别名,性质,等级
江苏省,宿迁市,宿城区,宿迁市工人医院,宿迁市工人医院,公立/综合医院,二级甲等
江苏省,宿迁市,宿城区,宿迁协和医院,宿迁妇科医院,民营/综合医院,未评级
江苏省,宿迁市,宿城区,宿迁市侯氏牙科门诊部,宿迁市侯氏牙科门诊部,公立/专科医院,未知
江苏省,宿迁市,宿城区,宿城区人民医院,宿城区人民医院,公立/综合医院,未知
江苏省,宿迁市,宿城区,宿迁市第二医院,宿迁第二医院,公立/综合医院,未知
江苏省,宿迁市,宿城区,宿迁市精神病院,宿迁市精神病院,公立/综合医院,未知
江苏省,宿迁市,宿城区,宿迁市宿城区果元医院,宿迁市宿城区果元医院,公立/综合医院,未知
江苏省,宿迁市,宿城区,宿迁市人民医院,南京鼓楼医院集团宿迁市人民医院,民营/综合医院,民营医院
江苏省,宿迁市,宿城区,宿迁市中医院,宿迁市中医院,公立/综合医院,三级甲等　　
江苏省,宿迁市,宿城区,宿迁市钟吾医院,宿迁市钟吾医院,民营/综合医院,二级甲等
江苏省,宿迁市,宿城区,宿迁同仁医院,宿迁市同仁医院,其他/综合医院,未评级
江苏省,宿迁市,宿城区,宿城区洋北镇医院,宿城区洋北镇医院,其他/综合医院,二级甲等
江苏省,宿迁市,宿城区,宿迁市宿城区项里医院,宿迁市宿城区项里医院,其他/综合医院,二级甲等
江苏省,宿迁市,宿城区,宿豫区新庄镇医院,宿豫区新庄镇医院,其他/专科医院,三级乙等
江苏省,宿迁市,宿城区,宿豫区王官集镇医院,宿豫区王官集镇医院,其他/综合医院,三级乙等
江苏省,宿迁市,宿城区,宿迁市儿童医院,宿迁市儿童医院,其他/专科医院,二级医院
江苏省,宿迁市,宿城区,宿迁市仁济骨科医院,宿迁市仁济骨科医院,其他/专科医院,二级甲等
江苏省,宿迁市,宿城区,宿迁泌尿专科医院,宿迁泌尿专科医院,其他/专科医院,未知
江苏省,宿迁市,宿城区,宿迁肛肠专科医院,宿迁肛肠专科医院,其他/专科医院,未知
江苏省,宿迁市,宿城区,宿迁市新华医院,宿迁市新华医院,其他/综合医院,未知
江苏省,宿迁市,宿城区,宿迁市宿城区双庄镇医院,宿迁市宿城区双庄镇医院,其他/综合医院,一级甲等
江苏省,宿迁市,宿城区,宿城区皮肤病防治所,宿城区皮肤病防治所,其他/其他,未知
江苏省,宿迁市,宿城区,宿城区洋河医院,宿城区洋河医院,其他/综合医院,未知
江苏省,宿迁市,宿城区,宿城区郑楼医院,宿城区郑楼医院,其他/综合医院,一级甲等
江苏省,宿迁市,宿城区,宿城区中扬医院,宿城区中扬医院,其他/综合医院,一级医院
江苏省,宿迁市,宿城区,宿城区仓集医院,宿城区仓集医院,其他/综合医院,一级医院
江苏省,宿迁市,宿城区,宿城区洋河仁爱医院,宿城区洋河仁爱医院,其他/综合医院,一级甲等
江苏省,宿迁市,宿城区,宿城区埠子医院,宿城区埠子医院,其他/综合医院,一级甲等
江苏省,宿迁市,宿城区,宿城区耿车医院,宿城区耿车医院,其他/综合医院,一级甲等
江苏省,宿迁市,宿城区,宿城区南蔡乡医院,宿城区南蔡乡医院,其他/综合医院,未知
江苏省,宿迁市,宿城区,宿城区罗圩乡医院,宿城区罗圩乡医院,其他/综合医院,一级甲等
江苏省,宿迁市,宿城区,宿城区红十字医院,宿城区红十字医院,其他/综合医院,一级甲等
江苏省,宿迁市,宿城区,宿迁市宿城区双庄镇支口卫生院,宿迁市宿城区双庄镇支口卫生院,其他/综合医院,二级乙等
江苏省,宿迁市,宿城区,宿城区陈集镇医院,宿城区陈集镇医院,其他/综合医院,一级乙等
江苏省,宿迁市,宿城区,宿迁市妇产医院,宿迁妇产医院,民营/专科医院,二级甲等
江苏省,宿迁市,宿城区,宿迁现代医院,宿迁男科医院,合资/专科医院,二级甲等
