省,市,区,全名,别名,性质,等级
江苏省,宿迁市,泗阳县,泗阳县王集医院,泗阳县王集医院,民营/综合医院,未知
江苏省,宿迁市,泗阳县,泗阳县第二人民医院,泗阳县第二人民医院,公立/综合医院,未知
江苏省,宿迁市,泗阳县,泗阳县工人医院,泗阳县工人医院,民营/综合医院,未知
江苏省,宿迁市,泗阳县,泗阳县精神病院,泗阳县精神病院,公立/综合医院,未知
江苏省,宿迁市,泗阳县,泗阳仁慈医院,泗阳仁慈医院,民营/综合医院,未知
江苏省,宿迁市,泗阳县,泗阳县史集医院,泗阳县史集医院,民营/综合医院,未知
江苏省,宿迁市,泗阳县,泗阳县张家圩医院,泗阳县张家圩医院,民营/综合医院,未知
江苏省,宿迁市,泗阳县,泗阳县三庄医院,泗阳县三庄医院,民营/综合医院,未知
江苏省,宿迁市,泗阳县,泗阳县穿城医院,泗阳县穿城医院,民营/综合医院,未知
江苏省,宿迁市,泗阳县,泗阳县爱园医院,泗阳县爱园医院,民营/综合医院,未知
江苏省,宿迁市,泗阳县,泗阳县里仁医院,泗阳县里仁医院,民营/综合医院,未知
江苏省,宿迁市,泗阳县,泗阳县庄圩医院,泗阳县庄圩医院,民营/综合医院,未知
江苏省,宿迁市,泗阳县,泗阳县桃果园医院,泗阳县桃果园医院,民营/综合医院,未知
江苏省,宿迁市,泗阳县,泗阳县洋河医院,泗阳县洋河医院,民营/综合医院,未知
江苏省,宿迁市,泗阳县,泗阳县新袁医院,泗阳县新袁医院,民营/综合医院,未知
江苏省,宿迁市,泗阳县,泗阳县城厢医院,泗阳县城厢医院,民营/综合医院,未知
江苏省,宿迁市,泗阳县,泗阳县卢集医院,泗阳县卢集医院,民营/综合医院,未知
江苏省,宿迁市,泗阳县,泗阳县李口医院,泗阳县李口医院,民营/综合医院,未知
江苏省,宿迁市,泗阳县,泗阳县高渡医院,泗阳县高渡医院,民营/综合医院,未知
江苏省,宿迁市,泗阳县,泗阳县裴圩医院,泗阳县裴圩医院,民营/综合医院,未知
江苏省,宿迁市,泗阳县,泗阳县黄圩医院,泗阳县黄圩医院,民营/综合医院,未知
江苏省,宿迁市,泗阳县,泗阳县众兴镇卫生院,泗阳县众兴镇卫生院,民营/综合医院,未知
江苏省,宿迁市,泗阳县,泗阳县来安医院,泗阳县来安医院,民营/综合医院,未知
江苏省,宿迁市,泗阳县,泗阳县葛集医院,泗阳县葛集医院,民营/综合医院,未知
江苏省,宿迁市,泗阳县,泗阳县八集医院,泗阳县八集医院,民营/综合医院,未知
江苏省,宿迁市,泗阳县,泗阳县南刘集医院,泗阳县南刘集医院,民营/综合医院,未知
江苏省,宿迁市,泗阳县,泗阳县郑楼医院,泗阳县郑楼医院,民营/综合医院,未知
江苏省,宿迁市,泗阳县,泗阳县屠园医院,泗阳县屠园医院,民营/综合医院,未知
江苏省,宿迁市,泗阳县,泗阳县仓集医院,泗阳县仓集医院,民营/综合医院,未知
江苏省,宿迁市,泗阳县,泗阳县中杨医院,泗阳县中杨医院,民营/综合医院,未知
江苏省,宿迁市,泗阳县,泗阳县临河医院,泗阳县临河医院,民营/综合医院,一级甲等
江苏省,宿迁市,泗阳县,泗阳县人民医院,泗阳县人民医院,公立/综合医院,二级乙等
江苏省,宿迁市,泗阳县,泗阳县中医院,泗阳县中医院,民营/综合医院,二级甲等
江苏省,宿迁市,泗阳县,泗阳县魏圩医院,泗阳县魏圩医院,其他/综合医院,三级乙等
江苏省,宿迁市,泗阳县,泗阳县城南医院,泗阳县城南医院,其他/综合医院,三级乙等
江苏省,宿迁市,泗阳县,泗阳大众医院,泗阳大众医院,其他/综合医院,二级甲等
江苏省,宿迁市,泗阳县,泗阳县同济医院,泗阳县同济医院,其他/综合医院,三级乙等
江苏省,宿迁市,泗阳县,泗阳博爱医院,泗阳博爱医院,其他/综合医院,二级甲等
江苏省,宿迁市,泗阳县,泗阳泗沭医院,泗阳泗沭医院,其他/综合医院,二级甲等
江苏省,宿迁市,泗阳县,泗阳卫民医院,泗阳卫民医院,民营/综合医院,二级甲等
江苏省,宿迁市,泗阳县,泗阳淮泗医院,泗阳淮泗医院,其他/综合医院,二级甲等
江苏省,宿迁市,泗阳县,泗阳协和医院,泗阳协和医院,其他/综合医院,二级甲等
江苏省,宿迁市,泗阳县,泗阳县佑安医院,泗阳县佑安医院,其他/综合医院,二级甲等
江苏省,宿迁市,泗阳县,泗阳县瑞鑫医院,泗阳县瑞鑫医院,其他/综合医院,二级甲等
江苏省,宿迁市,泗阳县,泗阳健民医院,泗阳健民医院,其他/综合医院,二级甲等
江苏省,宿迁市,泗阳县,泗阳五官科医院,泗阳五官科医院,其他/专科医院,二级甲等
江苏省,宿迁市,泗阳县,泗阳县精神病防治院,泗阳县精神病防治院,其他/其他,二级甲等
江苏省,宿迁市,泗阳县,泗阳县第三人民医院,泗阳县第三人民医院,其他/综合医院,二级甲等
江苏省,宿迁市,泗阳县,泗阳爱心医院,泗阳爱心医院,其他/综合医院,一级乙等
江苏省,宿迁市,泗阳县,泗阳县妇幼保健所,泗阳县妇幼保健所,其他/其他,未知
