省,市,区,全名,别名,性质,等级
江苏省,盐城市,射阳县,射阳县洋马镇卫生院,射阳县洋马镇卫生院,公立/综合医院,一级乙等
江苏省,盐城市,射阳县,射阳县临海中心卫生院,射阳县临海中心卫生院,公立/综合医院,一级甲等
江苏省,盐城市,射阳县,射阳县光明眼科医院,射阳县光明眼科医院,民营/综合医院,未知
江苏省,盐城市,射阳县,射阳县海通镇医院,射阳县海通镇医院,民营/综合医院,未知
江苏省,盐城市,射阳县,盐城市第二人民医院盐场分院,射阳盐场医院,公立/综合医院,未知
江苏省,盐城市,射阳县,射阳县第二人民医院,射阳县第二人民医院,公立/综合医院,未知
江苏省,盐城市,射阳县,射阳县淮海农场医院,射阳县淮海农场医院,公立/综合医院,未知
江苏省,盐城市,射阳县,射阳县妇幼保健所,射阳县妇幼保健所,公立/综合医院,未知
江苏省,盐城市,射阳县,射阳县第三人民医院射阳县精神病院,射阳县第三人民医院射阳县精神病院,公立/综合医院,未知
江苏省,盐城市,射阳县,射阳县新洋农场医院,射阳县新洋农场医院,公立/综合医院,二级乙等
江苏省,盐城市,射阳县,江苏省农垦肿瘤医院,江苏省农垦肿瘤医院,公立/专科医院,二级甲等
江苏省,盐城市,射阳县,射阳县中医院,射阳县中医院,公立/综合医院,二级甲等
江苏省,盐城市,射阳县,射阳县人民医院,射阳县人民医院,公立/综合医院,二级甲等
江苏省,盐城市,射阳县,射阳县临海农场医院,射阳县临海农场医院,其他/综合医院,未知
江苏省,盐城市,射阳县,江苏省国营新洋农场医院,江苏省国营新洋农场医院,公立/综合医院,三级乙等
江苏省,盐城市,射阳县,江苏省国营淮海农场医院,江苏省国营淮海农场医院,公立/综合医院,三级乙等
江苏省,盐城市,射阳县,射阳县振阳医院,射阳县振阳医院,民营/综合医院,二级医院
