省,市,区,全名,别名,性质,等级
江苏省,扬州市,广陵区,扬州市口腔医院,扬州市口腔医院,公立/综合医院,一级甲等
江苏省,扬州市,广陵区,扬州市汤汪医院,扬州市汤汪医院,公立/综合医院,未知
江苏省,扬州市,广陵区,江苏省武警医院,江苏省武警医院,公立/综合医院,三级甲等　　
江苏省,扬州市,广陵区,扬州市第一人民医院,扬州市第一人民医院,公立/综合医院,三级甲等　　
江苏省,扬州市,广陵区,扬州市苏北人民医院,扬州市苏北人民医院,公立/综合医院,三级甲等　　
江苏省,扬州市,广陵区,扬州市广陵医院,广陵区中医院,公立/综合医院,二级乙等
江苏省,扬州市,广陵区,扬州市第三人民医院,扬州市肿瘤医院,公立/综合医院,二级甲等
江苏省,扬州市,广陵区,扬州市妇幼保健院,扬州市红十字医院,公立/综合医院,二级甲等
江苏省,扬州市,广陵区,江苏省苏北人民医院,扬州市红十字中心医院,公立/综合医院,三级甲等　　
江苏省,扬州市,广陵区,扬州市中医院,扬州市中医院,公立/综合医院,三级甲等　　
江苏省,扬州市,广陵区,扬州华东慧康医院,扬州华东石油医院,民营/综合医院,民营医院
江苏省,扬州市,广陵区,扬州仁爱医院,扬州仁爱医院,民营/专科医院,民营医院
江苏省,扬州市,广陵区,扬州城东医院,扬州城东医院,公立/综合医院,一级甲等
江苏省,扬州市,广陵区,扬州蓝天医院,扬州蓝天男科医院,民营/综合医院,民营医院
江苏省,扬州市,广陵区,江苏省扬州五台山医院,江苏省复员退伍军人精神病医院,其他/专科医院,二级甲等
江苏省,扬州市,广陵区,扬州市妇幼保健院门诊部,扬州市妇幼保健院门诊部,其他/门诊,未知
江苏省,扬州市,广陵区,江苏省扬州水建医院,江苏省扬州水建医院,其他/综合医院,未知
江苏省,扬州市,广陵区,扬州广陵嘉洁口腔门诊部,扬州广陵嘉洁口腔门诊部,民营/门诊,未知
江苏省,扬州市,广陵区,扬州市广陵区靓齿口腔门诊部,扬州市广陵区靓齿口腔门诊部,其他/门诊,未知
江苏省,扬州市,广陵区,扬州广陵曲江新苑门诊部,扬州广陵曲江新苑门诊部,其他/门诊,未知
江苏省,扬州市,广陵区,扬州广陵东城门诊部,扬州广陵东城门诊部,其他/门诊,未知
江苏省,扬州市,广陵区,扬州广陵东区医院,扬州广陵东区医院,其他/综合医院,未知
江苏省,扬州市,广陵区,扬州市东花苑医院,扬州市东花苑医院,其他/综合医院,未知
江苏省,扬州市,广陵区,扬州中医院,扬州中医院,公立/综合医院,三级甲等　　
