省,市,区,全名,别名,性质,等级
江苏省,扬州市,邗江区,邗江区华美整形外科门诊部,扬州华美整形美容医院,民营/门诊,未知
江苏省,扬州市,邗江区,华东石油地质医院,华东石油地质医院,公立/综合医院,一级甲等
江苏省,扬州市,邗江区,扬州市第二人民医院新城分部,扬州市第二人民医院新城分部,公立/综合医院,未知
江苏省,扬州市,邗江区,扬州市刊江区第三人民医院,扬州市刊江区第三人民医院,民营/综合医院,未知
江苏省,扬州市,邗江区,扬州市刊江区第二人民医院,扬州市刊江区第二人民医院,民营/综合医院,未知
江苏省,扬州市,邗江区,扬州市邗江区妇幼保健所,扬州市邗江区妇幼保健所,公立/综合医院,未知
江苏省,扬州市,邗江区,扬州市邗江区中医院,扬州市邗江区中医院,公立/综合医院,一级甲等
江苏省,扬州市,邗江区,扬州市邗江区人民医院,扬州市邗江区人民医院,公立/综合医院,二级甲等
江苏省,扬州市,邗江区,江苏省苏北人民医院新区分院,扬州市第三人民医院,公立/综合医院,二级甲等
江苏省,扬州市,邗江区,邗江美安整形外科门诊部,邗江美安整形外科门诊部,民营/门诊,未评级
江苏省,扬州市,邗江区,扬州扬子妇科医院,扬州市邗江扬子妇科医院,民营/专科医院,民营医院
江苏省,扬州市,邗江区,扬州市邗江国建微创医院,扬州市邗江国建微创医院,其他/专科医院,未知
