省,市,区,全名,别名,性质,等级
江苏省,扬州市,江都市,江都扬庄医院,江都扬庄医院,民营/综合医院,未知
江苏省,扬州市,江都市,江苏石油勘探局钻井处真武医院,江苏石油勘探局钻井处真武医院,公立/综合医院,未知
江苏省,扬州市,江都市,江都市中医院,江都市中医院,公立/综合医院,未知
江苏省,扬州市,江都市,江都市第二人民医院,江都市第二人民医院,公立/综合医院,未知
江苏省,扬州市,江都市,江都市妇幼保健院,江都市妇幼保健院,公立/综合医院,未知
江苏省,扬州市,江都市,扬州市友好医院,江苏石油勘探局职工医院,公立/综合医院,二级甲等
江苏省,扬州市,江都市,江都市脑科医院,江都市脑科医院,公立/综合医院,未知
江苏省,扬州市,江都市,武警江苏总队医院,解放军第四陆军医院,公立/综合医院,三级甲等　　
江苏省,扬州市,江都市,江都市人民医院,江都市人民医院,公立/综合医院,二级甲等
江苏省,扬州市,江都市,扬州市龙川区天伦妇科门诊部,扬州市江都天伦妇科医院,民营/专科医院,未知
江苏省,扬州市,江都市,江都新中山医院,扬州市江都天伦医院,民营/专科医院,未知
江苏省,扬州市,江都市,扬州友好医院,扬州大学医学院附属医院,其他/综合医院,二级甲等
江苏省,扬州市,江都市,扬州洪泉医院,扬州洪泉医院,民营/综合医院,二级甲等
江苏省,扬州市,江都市,杭州万向医院管理有限公司江都新中山妇科门诊部,杭州万向医院管理有限公司江都新中山妇科门诊部,其他/门诊,未知
江苏省,扬州市,江都市,江都曹王医院,江都曹王医院,其他/其他,未知
江苏省,扬州市,江都市,江都黄思医院,江都黄思医院,其他/其他,未知
江苏省,扬州市,江都市,江都滨湖医院,江都滨湖医院,其他/其他,未知
