省,市,区,全名,别名,性质,等级
江苏省,泰州市,海陵区,泰州品上张勤眼科医院,张勤眼科,民营/专科医院,民营医院
江苏省,泰州市,海陵区,泰州东方医院,泰州东方医院,民营/专科医院,民营医院
江苏省,泰州市,海陵区,泰州市职业病防治院,泰州市职业病防治院,公立/综合医院,一级甲等
江苏省,泰州市,海陵区,泰州三泰康复医院,康复医院,民营/综合医院,民营医院
江苏省,泰州市,海陵区,泰州市海陵区引江诊所,泰州市海陵区引江诊所,公立/综合医院,未知
江苏省,泰州市,海陵区,泰州市海陵中医院,泰州市海陵中医院,公立/综合医院,未知
江苏省,泰州市,海陵区,泰州市西郊医院,泰州市西郊医院,公立/综合医院,未知
江苏省,泰州市,海陵区,泰州市疾病预防控制中心,泰州市疾病预防控制中心,公立/综合医院,未知
江苏省,泰州市,海陵区,泰州市泰东镇卫生院,泰州市泰东镇卫生院,公立/综合医院,未知
江苏省,泰州市,海陵区,泰州市寺巷镇卫生院,泰州市寺巷镇卫生院,公立/综合医院,未知
江苏省,泰州市,海陵区,泰州市泰山卫生院,泰州市泰山卫生院,公立/综合医院,未知
江苏省,泰州市,海陵区,泰州第四人民医院光阳社区卫生服务站,泰州第四人民医院光阳社区卫生服务站,公立/综合医院,未知
江苏省,泰州市,海陵区,泰州市口腔医院新区门诊部,泰州市口腔医院新区门诊部,公立/专科医院,未知
江苏省,泰州市,海陵区,泰州博爱青年路诊所,泰州博爱青年路诊所,民营/综合医院,未知
江苏省,泰州市,海陵区,泰州康泰门诊部,泰州康泰门诊部,民营/综合医院,未知
江苏省,泰州市,海陵区,泰州市机关门诊部,泰州市机关门诊部,公立/综合医院,未知
江苏省,泰州市,海陵区,泰州市塘湾卫生院,泰州市塘湾卫生院,公立/综合医院,未知
江苏省,泰州市,海陵区,泰州市海陵区长生门诊部,泰州市海陵区长生门诊部,民营/综合医院,未知
江苏省,泰州市,海陵区,泰州市第四人民医院新区门诊部,泰州市第四人民医院新区门诊部,公立/综合医院,未知
江苏省,泰州市,海陵区,泰州市高职院齿科门诊鼓楼分部,泰州市高职院齿科门诊鼓楼分部,公立/综合医院,未知
江苏省,泰州市,海陵区,泰州市红旗良种场医院,泰州市红旗良种场医院,公立/综合医院,未知
江苏省,泰州市,海陵区,泰州市海陵口腔医院,泰州市海陵口腔医院,公立/专科医院,未知
江苏省,泰州市,海陵区,泰州中医院安居苑社区门诊部,泰州中医院安居苑社区门诊部,公立/综合医院,未知
江苏省,泰州市,海陵区,泰州市海陵区直属机关门诊部,泰州市海陵区直属机关门诊部,公立/综合医院,未知
江苏省,泰州市,海陵区,泰州市医疗保险康复门诊部,泰州市医疗保险康复门诊部,公立/综合医院,未知
江苏省,泰州市,海陵区,泰州市鼓楼医学门诊部,泰州市鼓楼医学门诊部,民营/综合医院,未知
江苏省,泰州市,海陵区,泰州裕泰纺织有限公司卫生所,泰州裕泰纺织有限公司卫生所,公立/综合医院,一级甲等
江苏省,泰州市,海陵区,华东石油局试采大队卫生所,华东石油局试采大队卫生所,公立/综合医院,一级甲等
江苏省,泰州市,海陵区,泰州市九龙人民医院,泰州市九龙人民医院,公立/综合医院,一级甲等
江苏省,泰州市,海陵区,泰州市妇幼保健院,泰州妇保院,公立/综合医院,未知
江苏省,泰州市,海陵区,泰州市第四人民医院,泰州四院,公立/综合医院,二级甲等
江苏省,泰州市,海陵区,泰州市人民医院,泰州市人民医院,公立/综合医院,三级乙等
江苏省,泰州市,海陵区,泰州市中医院,泰州市中医院,公立/综合医院,三级甲等　　
江苏省,泰州市,海陵区,泰州普济医院,泰州普济医院,合资/综合医院,未知
江苏省,泰州市,海陵区,海陵女子医院,海陵女子医院,其他/专科医院,未知
