省,市,区,全名,别名,性质,等级
江苏省,泰州市,高港区,泰州市高港中医院,泰州市高港中医院,公立/综合医院,未知
江苏省,泰州市,高港区,泰州市高港第二人民医院,泰州市高港第二人民医院,公立/综合医院,未知
江苏省,泰州市,高港区,泰州市高港人民医院,泰州市高港人民医院,公立/综合医院,未知
江苏省,泰州市,高港区,泰州市高港中医喉科医院,泰州市高港中医喉科医院,公立/专科医院,未知
江苏省,泰州市,高港区,泰州市野徐镇卫生院,泰州市野徐镇卫生院,公立/综合医院,未知
江苏省,泰州市,高港区,泰州市白马人民医院,泰州市白马人民医院,公立/综合医院,未知
江苏省,泰州市,高港区,泰州市高港区许庄医院,泰州市高港区许庄医院,公立/综合医院,未知
江苏省,泰州市,高港区,泰州市永安洲镇卫生院,泰州市永安洲镇卫生院,公立/综合医院,未知
江苏省,泰州市,高港区,泰州市高港眼科医院,泰州市高港眼科医院,公立/综合医院,未知
江苏省,泰州市,高港区,泰州市高港区口岸船舶公司卫生所（生活区）,泰州市高港区口岸船舶公司卫生所（生活区）,公立/综合医院,一级甲等
江苏省,泰州市,高港区,泰州市高港区口岸船舶工业公司卫生所,泰州市高港区口岸船舶工业公司卫生所,公立/综合医院,一级甲等
江苏省,泰州市,高港区,泰州市第三人民医院,原高港人民医院,公立/综合医院,二级乙等
江苏省,泰州市,高港区,泰州市高港慕云儿科医院,泰州市高港慕云儿科医院,其他/专科医院,未知
江苏省,泰州市,高港区,泰州市药物依赖脱瘾治疗中心,泰州市药物依赖脱瘾治疗中心,其他/其他,未知
