省,市,区,全名,别名,性质,等级
江苏省,泰州市,泰兴市,泰州市第四人民医院分院,泰州市第四人民医院分院,公立/综合医院,一级甲等
江苏省,泰州市,泰兴市,泰兴市横垛镇卫生院,泰兴市横垛镇卫生院,公立/综合医院,一级甲等
江苏省,泰州市,泰兴市,泰兴华山门诊部,泰兴华山医院,民营/综合医院,未知
江苏省,泰州市,泰兴市,泰兴市第三人民医院,泰兴市骨伤专科医院,公立/综合医院,未知
江苏省,泰州市,泰兴市,泰兴市红十字医院,泰兴市红十字医院,公立/综合医院,未知
江苏省,泰州市,泰兴市,泰兴市精神病防治院,泰兴市精神病防治院,公立/综合医院,未知
江苏省,泰州市,泰兴市,泰兴市肿瘤医院,泰兴市肿瘤医院,公立/专科医院,一级甲等
江苏省,泰州市,泰兴市,泰兴市人民医院,泰兴市人民医院,公立/综合医院,二级甲等
江苏省,泰州市,泰兴市,泰兴市中医院,泰兴市中医院,公立/综合医院,二级甲等
江苏省,泰州市,泰兴市,泰兴市第二人民医院,泰兴市第二人民医院,公立/综合医院,二级甲等
江苏省,泰州市,泰兴市,泰兴城南医院,泰兴城南医院,公立/专科医院,未评级
江苏省,泰州市,泰兴市,泰兴市妇幼保健所,泰兴市妇幼保健所,其他/其他,未知
