省,市,区,全名,别名,性质,等级
江苏省,泰州市,姜堰市,泰州市姜堰优抚医院,泰州市姜堰复员军人疗养院,公立/综合医院,一级甲等
江苏省,泰州市,姜堰市,泰州姜堰博爱医院,泰州姜堰博爱医院,合资/综合医院,未评级
江苏省,泰州市,姜堰市,姜堰市叶甸医院,姜堰市叶甸医院,民营/综合医院,未知
江苏省,泰州市,姜堰市,姜堰市港口医院,姜堰市港口医院,民营/综合医院,未知
江苏省,泰州市,姜堰市,姜堰王石医院,姜堰王石医院,民营/综合医院,未知
江苏省,泰州市,姜堰市,姜堰市肝病专科医院,姜堰市梅垛医院,公立/综合医院,未知
江苏省,泰州市,姜堰市,姜堰市第二人民医院,姜堰市第二人民医院,公立/综合医院,未知
江苏省,泰州市,姜堰市,姜堰市王石乡卫生院,姜堰市王石乡卫生院,公立/综合医院,未知
江苏省,泰州市,姜堰市,姜堰市大泗乡卫生院,姜堰市大泗乡卫生院,公立/综合医院,未知
江苏省,泰州市,姜堰市,姜堰市里华镇卫生院分部,姜堰市里华镇卫生院分部,公立/综合医院,未知
江苏省,泰州市,姜堰市,姜堰市运粮乡卫生院,姜堰市运粮乡卫生院,公立/综合医院,未知
江苏省,泰州市,姜堰市,姜堰市仲院卫生院,姜堰市仲院卫生院,公立/综合医院,未知
江苏省,泰州市,姜堰市,姜堰市蒋垛中心卫生院,姜堰市蒋垛中心卫生院,公立/综合医院,未知
江苏省,泰州市,姜堰市,姜堰市梅垛医院,姜堰市肝病专科医院,民营/综合医院,未知
江苏省,泰州市,姜堰市,姜堰市溱潼湖西卫生院,姜堰市溱潼湖西卫生院,公立/综合医院,未知
江苏省,泰州市,姜堰市,姜堰市溱潼中心卫生院,姜堰市溱潼中心卫生院,公立/综合医院,未知
江苏省,泰州市,姜堰市,姜堰市港口中心卫生院,姜堰市港口中心卫生院,公立/综合医院,未知
江苏省,泰州市,姜堰市,姜堰市大伦乡卫生院,姜堰市大伦乡卫生院,公立/综合医院,未知
江苏省,泰州市,姜堰市,姜堰市太宇乡卫生院,姜堰市太宇乡卫生院,公立/综合医院,未知
江苏省,泰州市,姜堰市,姜堰市洪林中心卫生院,姜堰市洪林中心卫生院,公立/综合医院,未知
江苏省,泰州市,姜堰市,姜堰市娄庄卫生院,姜堰市娄庄卫生院,公立/综合医院,未知
江苏省,泰州市,姜堰市,姜堰市白米卫生院,姜堰市白米卫生院,公立/综合医院,未知
江苏省,泰州市,姜堰市,姜堰市第三人民医院,姜堰市第三人民医院,公立/综合医院,未知
江苏省,泰州市,姜堰市,姜堰市蔡官镇卫生院,姜堰市蔡官镇卫生院,公立/综合医院,未知
江苏省,泰州市,姜堰市,姜堰市张甸人民医院,姜堰市张甸人民医院,公立/综合医院,未知
江苏省,泰州市,姜堰市,姜堰市沈高镇卫生院,姜堰市沈高镇卫生院,公立/综合医院,未知
江苏省,泰州市,姜堰市,姜堰市苏陈中心卫生院,姜堰市苏陈中心卫生院,公立/综合医院,未知
江苏省,泰州市,姜堰市,姜堰市张沐镇卫生院,姜堰市张沐镇卫生院,公立/综合医院,未知
江苏省,泰州市,姜堰市,姜堰市桥头乡卫生院,姜堰市桥头乡卫生院,公立/综合医院,未知
江苏省,泰州市,姜堰市,姜堰市俞垛镇卫生院,姜堰市俞垛镇卫生院,公立/综合医院,一级甲等
江苏省,泰州市,姜堰市,姜堰市兴泰乡卫生院,姜堰市兴泰乡卫生院,公立/综合医院,一级甲等
江苏省,泰州市,姜堰市,姜堰市顾高人民医院,姜堰市顾高人民医院,公立/综合医院,一级甲等
江苏省,泰州市,姜堰市,泰州市第二人民医院,扬州大学医学院附属医院.,公立/综合医院,二级甲等
江苏省,泰州市,姜堰市,姜堰市中医院,姜堰市中医院,公立/综合医院,二级甲等
江苏省,泰州市,姜堰市,姜堰华山医院,姜堰华山医院,合资/综合医院,未知
江苏省,泰州市,姜堰市,姜堰太宇医院,姜堰太宇医院,其他/综合医院,二级甲等
江苏省,泰州市,姜堰市,姜堰市大冯医院,姜堰市大冯医院,其他/综合医院,二级甲等
江苏省,泰州市,姜堰市,姜堰市运粮医院,姜堰市运粮医院,其他/综合医院,未知
江苏省,泰州市,姜堰市,姜堰市马庄医院,姜堰市马庄医院,其他/综合医院,未知
江苏省,泰州市,姜堰市,姜堰市官庄医院,姜堰市官庄医院,其他/综合医院,二级甲等
江苏省,泰州市,姜堰市,姜堰市妇幼保健所,姜堰市妇幼保健所,其他/其他,未知
江苏省,泰州市,姜堰市,姜堰市皮肤病防治所,姜堰市皮肤病防治所,其他/其他,未知
