省,市,区,全名,别名,性质,等级
江苏省,南通市,崇川区,南通文峰医院,南通文峰医院,公立/综合医院,一级甲等
江苏省,南通市,崇川区,南通市老年康复医院,南通市老年康复医院,公立/综合医院,一级甲等
江苏省,南通市,崇川区,南通市妇幼保健所,南通市妇幼保健所,公立/综合医院,一级甲等
江苏省,南通市,崇川区,南通眼病医院（民营）,南通眼病医院,个体户/综合医院,一级甲等
江苏省,南通市,崇川区,南通市朝阳区医院通棉二厂职工医院,南通市朝阳区医院通棉二厂职工医院,公立/综合医院,一级甲等
江苏省,南通市,崇川区,南通市第三人民医院,南通市第三人民医院,公立/综合医院,二级甲等
江苏省,南通市,崇川区,南通大学附属医院,南通大学附属医院,公立/综合医院,三级甲等　　
江苏省,南通市,崇川区,南通市肿瘤医院南院,南通市肿瘤医院南院,公立/专科医院,三级甲等　　
江苏省,南通市,崇川区,南通中医院,南通中医院,公立/综合医院,三级甲等　　
江苏省,南通市,崇川区,南通市肿瘤医院北院,南通市肿瘤医院北院,公立/专科医院,三级甲等　　
江苏省,南通市,崇川区,南通市中医院,南通市中医院,公立/综合医院,三级甲等　　
江苏省,南通市,崇川区,南通大学院附属医院,南通大学院附属医院,公立/综合医院,三级甲等　　
江苏省,南通市,崇川区,南通市东方医院,南通体臣卫生学校附属医院,合资/综合医院,未知
江苏省,南通市,崇川区,南通市中西医结合医院,南通市口腔医院,公立/综合医院,二级甲等
江苏省,南通市,崇川区,南通市妇幼保健院,南通市妇产科医院,公立/综合医院,三级乙等
江苏省,南通市,崇川区,南通市第一人民医院,南通大学第二附属医院、南通国际友谊医院、南通市红十字医院,公立/综合医院,三级甲等　　
江苏省,南通市,崇川区,南通长城医院,南通长城医院,民营/综合医院,一级甲等
江苏省,南通市,崇川区,南通肛泰肛肠医院,南通肛泰肛肠医院,个体户/专科医院,未知
江苏省,南通市,崇川区,南通乳腺病专科门诊部,南通乳腺病专科门诊部,其他/门诊,未知
江苏省,南通市,崇川区,南通市红十字救护中心,南通市红十字救护中心,其他/其他,未知
江苏省,南通市,崇川区,南通中山医院,南通中山医院,其他/综合医院,未知
江苏省,南通市,崇川区,南通广济门诊部,南通广济门诊部,其他/其他,未知
江苏省,南通市,崇川区,南通市第六人民医院,南通市肺科医院,其他/综合医院,未评级
江苏省,南通市,崇川区,南通胃肠医院,南通文峰医院,民营/综合医院,未评级
