省,市,区,全名,别名,性质,等级
江苏省,南通市,海门市,海门市第三人民医院,海门市第三人民医院,公立/综合医院,未知
江苏省,南通市,海门市,海门市精神病防治所,海门市精神病防治所,公立/综合医院,未知
江苏省,南通市,海门市,海门市皮肤病防治所,海门市皮肤病防治所,公立/综合医院,未知
江苏省,南通市,海门市,海门市眼科医院,海门市眼科医院,公立/综合医院,未知
江苏省,南通市,海门市,海门市妇幼保健所,海门市妇幼保健所,公立/综合医院,一级甲等
江苏省,南通市,海门市,海门市第二人民医院,海门县三厂人民医院,公立/综合医院,未知
江苏省,南通市,海门市,海门市第四人民医院,海门市第四人民医院,公立/综合医院,二级乙等
江苏省,南通市,海门市,海门市人民医院,海门市人民医院,公立/综合医院,二级甲等
江苏省,南通市,海门市,海门市中医院,海门市中医院,公立/综合医院,二级甲等
江苏省,南通市,海门市,江苏省国营江心沙农场医院,江苏省国营江心沙农场医院,公立/综合医院,二级甲等
江苏省,南通市,海门市,海门华山门诊部,海门华山门诊部,民营/门诊,未知
江苏省,南通市,海门市,海门女子医院,海门女子医院,其他/综合医院,一级医院
江苏省,南通市,海门市,海门中山医院,海门中山医院,其他/综合医院,一级乙等
江苏省,南通市,海门市,海门市皮肤病防治医院,海门市皮肤病防治医院,其他/其他,未知
