省,市,区,全名,别名,性质,等级
江苏省,南通市,海安县,海安生殖专科医院（民营）,海安生殖专科医院,个体户/综合医院,未知
江苏省,南通市,海安县,海安县第三人民医院,海安县第三人民医院,公立/综合医院,未知
江苏省,南通市,海安县,海安县皮肤病防治院,海安县皮肤病防治院,公立/综合医院,未知
江苏省,南通市,海安县,海安县妇幼保健所,海安县妇幼保健所,公立/综合医院,未知
江苏省,南通市,海安县,海安县肿瘤医院,海安县肿瘤医院,公立/专科医院,未知
江苏省,南通市,海安县,海安生殖健康医院,海安生殖健康医院,民营/综合医院,一级乙等
江苏省,南通市,海安县,海安县中医院,海安县中医院,公立/综合医院,二级甲等
江苏省,南通市,海安县,海安县人民医院,南通医学院附属海安医院,公立/综合医院,二级甲等
江苏省,南通市,海安县,海安眼科医院,海安眼科医院,其他/专科医院,三级乙等
江苏省,南通市,海安县,海安针灸推拿学校附属医院,海安针灸推拿学校附属医院,其他/综合医院,未知
江苏省,南通市,海安县,海安华山医院,海安华山医院,其他/其他,未知
江苏省,南通市,海安县,海安博爱医院,海安博爱医院,其他/其他,未知
江苏省,南通市,海安县,海安女子医院,海安女子医院,其他/其他,未知
