省,市,区,全名,别名,性质,等级
江苏省,镇江市,京口区,镇江市仁济医院,镇江市仁济医院,公立/综合医院,一级甲等
江苏省,镇江市,京口区,解放军第三五九医院,解放军359医院,公立/综合医院,三级乙等
江苏省,镇江市,京口区,镇江市康洁齿科有限公司,镇江市康洁齿科有限公司,个体户/综合医院,未知
江苏省,镇江市,京口区,镇江市元中仁济口腔诊所,镇江市元中仁济口腔诊所,个体户/专科医院,未知
江苏省,镇江市,京口区,镇江市军队离休退休干部第一休养所医务室,镇江市军队离休退休干部第一休养所医务室,个体户/综合医院,未知
江苏省,镇江市,京口区,镇江市汝山医院,镇江市汝山医院,公立/综合医院,未知
江苏省,镇江市,京口区,镇江市市级机关医院,镇江市市级机关医院,公立/综合医院,未知
江苏省,镇江市,京口区,镇江市中医院,镇江市中医院,公立/综合医院,二级甲等
江苏省,镇江市,京口区,镇江市东吴医院,镇江市东吴医院,民营/综合医院,二级甲等
江苏省,镇江市,京口区,镇江市第四人民医院,江苏大学附属四院、镇江市妇幼保健院,公立/综合医院,三级甲等　　
江苏省,镇江市,京口区,江苏大学附属医院,镇江市江滨医院,公立/综合医院,三级甲等　　
江苏省,镇江市,京口区,镇江市第二人民医院,镇江市第二人民医院,公立/综合医院,二级甲等
