省,市,区,全名,别名,性质,等级
江苏省,镇江市,句容市,句容百姓医院,句容百姓妇科医院,民营/综合医院,未知
江苏省,镇江市,句容市,江苏省句容监狱医院,江苏省句容监狱医院,公立/综合医院,二级乙等
江苏省,镇江市,句容市,国营江苏省湾山煤矿医院,国营江苏省湾山煤矿医院,公立/综合医院,一级甲等
江苏省,镇江市,句容市,句容市中医院,句容市中医院,公立/综合医院,未知
江苏省,镇江市,句容市,句容市人民医院,句容市人民医院,公立/综合医院,二级甲等
江苏省,镇江市,句容市,句容市妇幼保健院,句容市妇幼保健院,其他/综合医院,二级甲等
江苏省,镇江市,句容市,句容市皮肤病防治所,句容市皮肤病防治所,其他/其他,未知
江苏省,镇江市,句容市,江苏省句东劳动教养管理所医院,江苏省句东劳动教养管理所医院,其他/综合医院,一级乙等
江苏省,镇江市,句容市,江苏省女子劳教所医院,江苏省女子劳教所医院,其他/综合医院,未知
江苏省,镇江市,句容市,江苏省未成年犯管教所医院,江苏省未成年犯管教所医院,其他/综合医院,一级乙等
江苏省,镇江市,句容市,江苏省边城监狱医院,江苏省边城监狱医院,其他/综合医院,一级乙等
