省,市,区,全名,别名,性质,等级
江苏省,常州市,溧阳市,常州监狱医院,常州监狱医院,公立/综合医院,一级甲等
江苏省,常州市,溧阳市,江苏省国营作箦煤矿医院,江苏省国营作箦煤矿医院,公立/综合医院,未知
江苏省,常州市,溧阳市,江苏省国营社渚农场医院,江苏省国营社渚农场医院,公立/综合医院,未知
江苏省,常州市,溧阳市,溧阳市激光专科医院,溧阳市清安医院,公立/综合医院,未知
江苏省,常州市,溧阳市,溧阳市中医院泓口分院,溧阳市颈肩腰腿痛专科医院,公立/综合医院,未知
江苏省,常州市,溧阳市,溧阳市第三人民医院,溧阳市手外科医院,公立/综合医院,未知
江苏省,常州市,溧阳市,溧阳市第二人民医院,溧阳市第二人民医院,公立/综合医院,未知
江苏省,常州市,溧阳市,溧阳市第四人民医院,溧阳市第四人民医院,公立/综合医院,一级甲等
江苏省,常州市,溧阳市,溧阳市人民医院,溧阳市人民医院,公立/综合医院,二级甲等
江苏省,常州市,溧阳市,溧阳市中医院,溧阳市中医院,公立/综合医院,二级甲等
江苏省,常州市,溧阳市,溧阳市口腔病防治医院,溧阳市口腔病防治医院,其他/专科医院,二级甲等
江苏省,常州市,溧阳市,溧阳市东方医院,溧阳市东方医院,其他/综合医院,未知
江苏省,常州市,溧阳市,江苏省溧阳监狱医院,江苏省溧阳监狱医院,其他/综合医院,二级乙等
江苏省,常州市,溧阳市,溧阳溧城男健医疗门诊部,溧阳男健医院,民营/门诊,未知
