省,市,区,全名,别名,性质,等级
江苏省,无锡市,南长区,无锡市开源白癜风防治研究所,无锡白癜风医院_无锡白癜风专科医院,其他/专科医院,未评级
江苏省,无锡市,南长区,无锡市南长人医院,无锡市老年病医院,其他/综合医院,三级乙等
江苏省,无锡市,南长区,无锡市仁德医院,无锡市慈善医院,其他/综合医院,未知
江苏省,无锡市,南长区,无锡金城医院,无锡金城医院,民营/综合医院,未知
江苏省,无锡市,南长区,南长区南禅寺街道振新路社区卫生服务站,南长区南禅寺街道振新路社区卫生服务站,公立/综合医院,未知
江苏省,无锡市,南长区,清名桥街道社区卫生服务中心――大窑路社区卫生服务站,清名桥街道社区卫生服务中心――大窑路社区卫生服务站,公立/综合医院,未知
江苏省,无锡市,南长区,南长区金星街道社区卫生服务中心,南长区金星街道社区卫生服务中心,民营/综合医院,未知
江苏省,无锡市,南长区,南长金星街道社区卫生服务中心―新中北社区卫生服务站,南长金星街道社区卫生服务中心―新中北社区卫生服务站,民营/综合医院,未知
江苏省,无锡市,南长区,无锡市虹桥医院,无锡市虹桥医院,民营/综合医院,民营医院
江苏省,无锡市,南长区,无锡市地方税务局卫生所,无锡市地方税务局卫生所,公立/综合医院,未知
江苏省,无锡市,南长区,南长迎龙桥街道社区卫生服务中心―湖滨社区卫生服务站,南长迎龙桥街道社区卫生服务中心―湖滨社区卫生服务站,合资/综合医院,未知
江苏省,无锡市,南长区,南长区金星街道社区卫生服务中心―中联社区卫生服务站,南长区金星街道社区卫生服务中心―中联社区卫生服务站,合资/综合医院,未知
江苏省,无锡市,南长区,清名桥街道社区卫生服务中心――伯读港社区卫生服务站,清名桥街道社区卫生服务中心――伯读港社区卫生服务站,合资/综合医院,未知
江苏省,无锡市,南长区,南长区康华门诊所,南长区康华门诊所,民营/综合医院,未知
江苏省,无锡市,南长区,南长区金星街道社区卫生服务中心―翠园社区卫生服务站,南长区金星街道社区卫生服务中心―翠园社区卫生服务站,合资/综合医院,未知
江苏省,无锡市,南长区,无锡市出入境检验检疫局门诊所,无锡市出入境检验检疫局门诊所,公立/综合医院,未知
江苏省,无锡市,南长区,江苏省电信有限公司无锡分公司卫生所,江苏省电信有限公司无锡分公司卫生所,合资/综合医院,未知
江苏省,无锡市,南长区,无锡市南长区现代门诊部,无锡市南长区现代门诊部,合资/综合医院,未知
江苏省,无锡市,南长区,江苏省电业职工疗养院,江苏省电业职工疗养院,公立/综合医院,未知
江苏省,无锡市,南长区,无锡市南禅寺街道槐古桥社区卫生服务站,无锡市南禅寺街道槐古桥社区卫生服务站,合资/综合医院,未知
江苏省,无锡市,南长区,江苏省无锡和平中西医结合门诊部,江苏省无锡和平中西医结合门诊部,公立/综合医院,未知
江苏省,无锡市,南长区,扬名街道社区卫生服务中心――芦庄二社区卫生服务站,扬名街道社区卫生服务中心――芦庄二社区卫生服务站,合资/综合医院,未知
江苏省,无锡市,南长区,江苏省电力公司无锡供电公司卫生所,江苏省电力公司无锡供电公司卫生所,合资/综合医院,未知
江苏省,无锡市,南长区,无锡绸星集团有限责任公司（第一丝织厂）卫生所,无锡绸星集团有限责任公司（第一丝织厂）卫生所,合资/综合医院,未知
江苏省,无锡市,南长区,无锡市红十字会门诊部,无锡市红十字会门诊部,公立/综合医院,未知
江苏省,无锡市,南长区,新区旺庄街道社区卫生服务中心―长江路街道卫生服务站,新区旺庄街道社区卫生服务中心―长江路街道卫生服务站,合资/综合医院,未知
江苏省,无锡市,南长区,铁姆肯（无锡）轴承有限公司卫生所,铁姆肯（无锡）轴承有限公司卫生所,合资/综合医院,未知
江苏省,无锡市,南长区,无锡市新区新安街道社区卫生服务中心,无锡市新区新安街道社区卫生服务中心,合资/综合医院,未知
江苏省,无锡市,南长区,无锡新区梅村镇社区卫生服务中心,无锡新区梅村镇社区卫生服务中心,合资/综合医院,未知
江苏省,无锡市,南长区,无锡新区凤凰医院,无锡市新区医院,民营/综合医院,未知
江苏省,无锡市,南长区,迎龙桥街道社区卫生服务中心―曹张一社区卫生服务站,迎龙桥街道社区卫生服务中心―曹张一社区卫生服务站,公立/综合医院,未知
江苏省,无锡市,南长区,无锡市第五人民医院震泽门诊所,无锡市第五人民医院震泽门诊所,公立/综合医院,未知
江苏省,无锡市,南长区,无锡市第五人民医院中联门诊所,无锡市第五人民医院中联门诊所,合资/综合医院,未知
江苏省,无锡市,南长区,南长区金星街道社区卫生服务中心―中桥社区卫生服务站,南长区金星街道社区卫生服务中心―中桥社区卫生服务站,合资/综合医院,未知
江苏省,无锡市,南长区,江苏无锡朝阳,江苏无锡朝阳,合资/综合医院,未知
江苏省,无锡市,南长区,南长区南禅寺街道社区卫生服务中心,南长区南禅寺街道社区卫生服务中心,合资/综合医院,未知
江苏省,无锡市,南长区,南长区叙丰街道社区卫生站,南长区叙丰街道社区卫生站,合资/综合医院,未知
江苏省,无锡市,南长区,无锡海恒纺织有限公司保健站,无锡海恒纺织有限公司保健站,合资/综合医院,未知
江苏省,无锡市,南长区,无锡煤矿机械厂有限公司卫生所,无锡煤矿机械厂有限公司卫生所,公立/综合医院,未知
江苏省,无锡市,南长区,和平机械电子集团公司（无锡）卫生所,和平机械电子集团公司（无锡）卫生所,合资/综合医院,未知
江苏省,无锡市,南长区,华通气动制造公司卫生所,华通气动制造公司卫生所,合资/综合医院,未知
江苏省,无锡市,南长区,地质矿产部无锡钻探工具厂卫生所,地质矿产部无锡钻探工具厂卫生所,合资/综合医院,未知
江苏省,无锡市,南长区,无锡模具厂卫生所,无锡模具厂卫生所,合资/综合医院,未知
江苏省,无锡市,南长区,无锡动力工程股份有限公司卫生所,无锡动力工程股份有限公司卫生所,合资/综合医院,未知
江苏省,无锡市,南长区,无锡市希捷卫生所,无锡市希捷卫生所,合资/综合医院,未知
江苏省,无锡市,南长区,无锡宏源三纺机厂保健站,无锡宏源三纺机厂保健站,合资/综合医院,未知
江苏省,无锡市,南长区,无锡太极实业股份有限公司卫生所,无锡太极实业股份有限公司卫生所,合资/综合医院,未知
江苏省,无锡市,南长区,无锡叶片厂卫生所,无锡叶片厂卫生所,合资/综合医院,未知
江苏省,无锡市,南长区,无锡市丝绸印染总厂卫生所,无锡市丝绸印染总厂卫生所,合资/综合医院,未知
江苏省,无锡市,南长区,无锡水泵厂卫生所,无锡水泵厂卫生所,合资/综合医院,未知
江苏省,无锡市,南长区,无锡测绘仪器厂保健站,无锡测绘仪器厂保健站,合资/综合医院,未知
江苏省,无锡市,南长区,江苏省无锡市药械站保健站,江苏省无锡市药械站保健站,合资/综合医院,未知
江苏省,无锡市,南长区,宏源纺机卫生所,宏源纺机卫生所,合资/综合医院,未知
江苏省,无锡市,南长区,江苏省无锡船厂有限公司卫生所,江苏省无锡船厂有限公司卫生所,合资/综合医院,未知
江苏省,无锡市,南长区,无锡市通用机械厂卫生所,无锡市通用机械厂卫生所,合资/综合医院,未知
