省,市,区,全名,别名,性质,等级
江苏省,无锡市,锡山区,锡山区精神病防治医院,锡山区精神病防治医院,公立/综合医院,未知
江苏省,无锡市,锡山区,锡山区张泾人民医院,锡山区张泾人民医院,公立/综合医院,一级甲等
江苏省,无锡市,锡山区,无锡华山医院,无锡华山医院,合资/综合医院,一级甲等
江苏省,无锡市,锡山区,无锡市安国医院,无锡市安国医院,其他/综合医院,二级甲等
江苏省,无锡市,锡山区,无锡商业大厦保健站,无锡商业大厦保健站,公立/综合医院,未知
江苏省,无锡市,锡山区,南长金星街道社区卫生服务中心―中星苑社区卫生服务站,南长金星街道社区卫生服务中心―中星苑社区卫生服务站,公立/综合医院,未知
江苏省,无锡市,锡山区,油泵油嘴研究所卫生所,油泵油嘴研究所卫生所,公立/综合医院,未知
江苏省,无锡市,锡山区,江苏省血吸虫病寄生虫病防治研究所门诊部,江苏省血吸虫病寄生虫病防治研究所门诊部,公立/综合医院,未知
江苏省,无锡市,锡山区,锡山区安镇社区服务中心,锡山区安镇社区服务中心,公立/综合医院,未知
江苏省,无锡市,锡山区,无锡苏锡实业总公司卫生室,无锡苏锡实业总公司卫生室,公立/综合医院,未知
江苏省,无锡市,锡山区,锡山区鹅湖镇甘露社区卫生服务中心,锡山区鹅湖镇甘露社区卫生服务中心,公立/综合医院,未知
江苏省,无锡市,锡山区,锡山区东北塘镇社区卫生服务中心―农坝裕巷社区卫生服,锡山区东北塘镇社区卫生服务中心―农坝裕巷社区卫生服,公立/综合医院,未知
江苏省,无锡市,锡山区,锡山区东北塘镇社区卫生服务中心―蓉阳社区卫生服务站,锡山区东北塘镇社区卫生服务中心―蓉阳社区卫生服务站,公立/综合医院,未知
江苏省,无锡市,锡山区,锡山区东北塘镇社区卫生服务中心―锡通社区卫生服务站,锡山区东北塘镇社区卫生服务中心―锡通社区卫生服务站,公立/综合医院,未知
江苏省,无锡市,锡山区,锡山区东北塘镇社区卫生服务中心―桎旺社区服务站,锡山区东北塘镇社区卫生服务中心―桎旺社区服务站,公立/综合医院,未知
江苏省,无锡市,锡山区,锡山区东北塘镇社区卫生服务中心―正阳社区卫生服务站,锡山区东北塘镇社区卫生服务中心―正阳社区卫生服务站,公立/综合医院,未知
江苏省,无锡市,锡山区,锡山区东北塘镇社区卫生服务中心,锡山区东北塘镇社区卫生服务中心,公立/综合医院,未知
江苏省,无锡市,锡山区,锡山区锡北镇八士社区卫生服务中心―东房桥社区卫生服,锡山区锡北镇八士社区卫生服务中心―东房桥社区卫生服,公立/综合医院,未知
江苏省,无锡市,锡山区,锡山区锡北镇八士社区卫生服务中心通富社区卫生服务站,锡山区锡北镇八士社区卫生服务中心通富社区卫生服务站,公立/综合医院,未知
江苏省,无锡市,锡山区,锡山区锡北镇八士社区卫生服务中心,锡山区锡北镇八士社区卫生服务中心,公立/综合医院,未知
江苏省,无锡市,锡山区,锡山区东港镇社区卫生服务中心勤新社区卫生服务站,锡山区东港镇社区卫生服务中心勤新社区卫生服务站,公立/综合医院,未知
江苏省,无锡市,锡山区,锡山区东港镇社区卫生服务中心―陈墅社区卫生服务站,锡山区东港镇社区卫生服务中心―陈墅社区卫生服务站,公立/综合医院,未知
江苏省,无锡市,锡山区,锡山区东港镇东湖塘社区卫生服务中心,锡山区东港镇东湖塘社区卫生服务中心,公立/综合医院,未知
江苏省,无锡市,锡山区,锡山区东港镇社区卫生服务中心,锡山区东港镇社区卫生服务中心,公立/综合医院,未知
江苏省,无锡市,锡山区,羊尖医院严家桥社区卫生服务站,羊尖医院严家桥社区卫生服务站,公立/综合医院,未知
江苏省,无锡市,锡山区,锡山区羊尖镇卫生院,锡山区羊尖镇卫生院,公立/综合医院,未知
江苏省,无锡市,锡山区,锡山区安镇镇厚桥社区服务中心,锡山区安镇镇厚桥社区服务中心,公立/综合医院,未知
江苏省,无锡市,锡山区,锡山区查桥社区卫生服务中心,锡山区查桥社区卫生服务中心,公立/综合医院,未知
江苏省,无锡市,锡山区,无锡市江南颐养院卫生所,无锡市江南颐养院卫生所,公立/综合医院,未知
江苏省,无锡市,锡山区,锡山区妇幼保健所东亭春雷社区卫生服务站,锡山区妇幼保健所东亭春雷社区卫生服务站,公立/综合医院,未知
江苏省,无锡市,锡山区,锡山人民医院柏庄门诊所,锡山人民医院柏庄门诊所,公立/综合医院,未知
江苏省,无锡市,锡山区,无锡市锡山人民医院锡山区机关诊所,无锡市锡山人民医院锡山区机关诊所,公立/综合医院,未知
江苏省,无锡市,锡山区,无锡市锡山区妇幼保健所,无锡市锡山区妇幼保健所,公立/综合医院,未知
江苏省,无锡市,锡山区,锡山人民医院春江社区服务站,锡山人民医院春江社区服务站,公立/综合医院,未知
江苏省,无锡市,锡山区,广瑞路街道社区卫生服务中心―中储社区卫生服务站,广瑞路街道社区卫生服务中心―中储社区卫生服务站,公立/综合医院,未知
江苏省,无锡市,锡山区,通江街道社区卫生服务中心－周山浜社区卫生服务站,通江街道社区卫生服务中心－周山浜社区卫生服务站,公立/综合医院,未知
江苏省,无锡市,锡山区,无锡阳光医疗门诊部,无锡阳光医疗门诊部,民营/综合医院,未知
江苏省,无锡市,锡山区,无锡市瑞丰方便门诊,无锡市瑞丰方便门诊,合资/综合医院,未知
江苏省,无锡市,锡山区,无锡市东方肛肠医院,无锡市东方肛肠医院,公立/综合医院,一级甲等
江苏省,无锡市,锡山区,无锡市锡山区人民医院,无锡市锡山区人民医院,公立/综合医院,二级甲等
江苏省,无锡市,锡山区,无锡市安国医院,无锡市安国医院,其他/综合医院,二级甲等
