省,市,区,全名,别名,性质,等级
江苏省,苏州市,张家港市,张家港常阴沙医院,张家港常阴沙医院,其他/综合医院,二级甲等
江苏省,苏州市,张家港市,张家港市南丰医院,张家港市南丰医院,公立/综合医院,未知
江苏省,苏州市,张家港市,张家港万红医院,张家港万红医院,民营/综合医院,民营医院
江苏省,苏州市,张家港市,张家港市中医医院（南苑门诊）,张家港市中医医院（南苑门诊）,民营/综合医院,未知
江苏省,苏州市,张家港市,江苏省苏州市张家港市金鹿集团有限公司卫生所,江苏省苏州市张家港市金鹿集团有限公司卫生所,民营/综合医院,未知
江苏省,苏州市,张家港市,张家港市毛纺厂卫生所,张家港市毛纺厂卫生所,民营/综合医院,未知
江苏省,苏州市,张家港市,张家港华兴电力分公司卫生所,张家港华兴电力分公司卫生所,民营/综合医院,未知
江苏省,苏州市,张家港市,保税区江海粮油张家港储运部卫生所,保税区江海粮油张家港储运部卫生所,民营/综合医院,未知
江苏省,苏州市,张家港市,虞山镇安定社区卫生服务站,虞山镇安定社区卫生服务站,公立/综合医院,未知
江苏省,苏州市,张家港市,张家港香山医院,张家港香山医院,公立/综合医院,未知
江苏省,苏州市,张家港市,张家港市乐余镇稻麦良种场社区卫生服务站,张家港市乐余镇稻麦良种场社区卫生服务站,民营/综合医院,未知
江苏省,苏州市,张家港市,锦绣社区卫生服务站,锦绣社区卫生服务站,民营/综合医院,未知
江苏省,苏州市,张家港市,西张镇栏杆社区卫生服务站,西张镇栏杆社区卫生服务站,民营/综合医院,未知
江苏省,苏州市,张家港市,张家港保税区社区卫生服务站,张家港保税区社区卫生服务站,民营/综合医院,未知
江苏省,苏州市,张家港市,后塍镇塍中社区卫生服务站,后塍镇塍中社区卫生服务站,民营/综合医院,未知
江苏省,苏州市,张家港市,市港区镇中兴南路社区卫生服务站,市港区镇中兴南路社区卫生服务站,民营/综合医院,未知
江苏省,苏州市,张家港市,港区镇长江社区卫生服务站,港区镇长江社区卫生服务站,民营/综合医院,未知
江苏省,苏州市,张家港市,杨舍镇闸上社区卫生服务站,杨舍镇闸上社区卫生服务站,民营/综合医院,未知
江苏省,苏州市,张家港市,杨舍镇泗港街道社区卫生服务站,杨舍镇泗港街道社区卫生服务站,民营/综合医院,未知
