省,市,区,全名,别名,性质,等级
江苏省,徐州市,新沂市,新沂安定医院,新沂安定医院,民营/专科医院,民营医院
江苏省,徐州市,新沂市,新沂新兴医院,新沂男科医院，新沂妇产科医院，新沂不孕不育医院,民营/综合医院,未评级
江苏省,徐州市,新沂市,新沂铁路医院,新沂铁路医院,公立/综合医院,未知
江苏省,徐州市,新沂市,新沂市精神病院,新沂市精神病院,公立/综合医院,未知
江苏省,徐州市,新沂市,新沂市妇幼保健所,新沂市妇幼保健所,公立/综合医院,未知
江苏省,徐州市,新沂市,新沂市第六人民医院,新沂市第六人民医院,公立/综合医院,未知
江苏省,徐州市,新沂市,新沂市第二人民医院,新沂市第二人民医院,公立/综合医院,未知
江苏省,徐州市,新沂市,新沂市人民医院,新沂市人民医院,公立/综合医院,二级甲等
江苏省,徐州市,新沂市,新沂市中医院,新沂市中医院,公立/综合医院,二级甲等
江苏省,徐州市,新沂市,徐州市广慈医院,徐州市广慈医院,公立/综合医院,一级甲等
江苏省,徐州市,新沂市,新沂市马站骨科医院,新沂市马站骨科医院,其他/专科医院,一级医院
江苏省,徐州市,新沂市,新沂市仁济医院,新沂市仁济医院,其他/综合医院,一级医院
江苏省,徐州市,新沂市,新沂市博爱医院,新沂市博爱医院,其他/综合医院,一级医院
江苏省,徐州市,新沂市,徐州铁路分局新沂铁路医院,徐州铁路分局新沂铁路医院,其他/综合医院,二级甲等
