省,市,区,全名,别名,性质,等级
江苏省,徐州市,邳州市,邳州市妇幼保健所,邳州市妇幼保健所,公立/综合医院,未知
江苏省,徐州市,邳州市,邳州市第五人民医院,邳州市第五人民医院,公立/综合医院,未知
江苏省,徐州市,邳州市,邳州市第四人民医院,邳州市第四人民医院,公立/综合医院,未知
江苏省,徐州市,邳州市,邳州市第三人民医院,邳州市第三人民医院,公立/综合医院,一级甲等
江苏省,徐州市,邳州市,邳州市中医院,邳州市中医院,公立/综合医院,二级甲等
江苏省,徐州市,邳州市,邳州市第二人民医院,邳州市第二人民医院,公立/综合医院,二级甲等
江苏省,徐州市,邳州市,邳州市人民医院,邳州市人民医院,公立/综合医院,二级甲等
江苏省,徐州市,邳州市,邳州同济医院,邳州市同济医院,民营/专科医院,民营医院
江苏省,徐州市,邳州市,邳州王昕口腔诊所,王昕牙科,民营/门诊,民营医院
江苏省,徐州市,邳州市,邳州宋増民口腔诊所,徐州爱牙医院邳州门诊部,民营/门诊,未评级
江苏省,徐州市,邳州市,江苏省邳州市人民医院,江苏省邳州市人民医院,其他/综合医院,二级甲等
江苏省,徐州市,邳州市,邳州市传染病医院,邳州市传染病医院,其他/专科医院,二级甲等
江苏省,徐州市,邳州市,邳州市东方医院,邳州市东方医院,其他/综合医院,未知
江苏省,徐州市,邳州市,铁道部第二工程局第二工程处医院,铁道部第二工程局第二工程处医院,其他/综合医院,二级医院
江苏省,徐州市,邳州市,邳州市职工医院,邳州市职工医院,其他/综合医院,一级甲等
