省,市,区,全名,别名,性质,等级
浙江省,杭州市,下城区,杭州同欣整形美容医院,杭州同欣整形美容医院,个体户/综合医院,一级甲等
浙江省,杭州市,下城区,杭州瑞丽整形医院,杭州瑞丽医疗美容医院,民营/其他,未评级
浙江省,杭州市,下城区,杭州丽都白癜风医院,杭州白癜风医院_杭州白癜风专科医院,其他/其他,未评级
浙江省,杭州市,下城区,杭州艺星医疗美容医院,杭州艺星医疗美容医院,民营/未知,未知
浙江省,杭州市,下城区,杭州中河肝病治疗中心,杭州中河肝病医院,个体户/综合医院,一级甲等
浙江省,杭州市,下城区,杭州宝善堂中西医结合门诊部,杭州宝善堂中西医结合医院-中医儿科,民营/综合医院,民营医院
浙江省,杭州市,下城区,杭州强生医院,杭州强生泌尿外科医院,其他/专科医院,未知
浙江省,杭州市,下城区,杭州儿童医院,杭州儿童医院,公立/综合医院,未知
浙江省,杭州市,下城区,浙江省国体委体育职工医院,浙江省国体委体育职工医院,公立/综合医院,未知
浙江省,杭州市,下城区,杭州肛泰医院,杭州肛泰肛肠医院,民营/专科医院,未知
浙江省,杭州市,下城区,浙江省针灸推拿医院,浙江省针灸推拿医院,公立/综合医院,未知
浙江省,杭州市,下城区,杭州建国医院,杭州建国医院,民营/专科医院,未知
浙江省,杭州市,下城区,杭州经济技术开发区下沙医院,杭州经济技术开发区下沙医院,公立/综合医院,未知
浙江省,杭州市,下城区,杭州同仁医院,杭州同仁医院,民营/综合医院,未知
浙江省,杭州市,下城区,浙江省乔司监狱医院,浙江省乔司监狱医院,公立/综合医院,未知
浙江省,杭州市,下城区,杭州市朝晖人民医院,杭州市朝晖人民医院,公立/综合医院,未知
浙江省,杭州市,下城区,杭州市下城区红十字会医院,杭州市下城区红十字会医院,公立/综合医院,未知
浙江省,杭州市,下城区,杭州市下城区妇幼保健院,杭州市下城区妇幼保健院,公立/综合医院,未知
浙江省,杭州市,下城区,杭州市下城区中医院,杭州市下城区中医院,公立/综合医院,未知
浙江省,杭州市,下城区,杭州市结核病防治院,杭州市结核病防治院,公立/综合医院,未知
浙江省,杭州市,下城区,杭州市下城区人民医院,杭州市下城区人民医院,公立/综合医院,一级甲等
浙江省,杭州市,下城区,杭州市下城区中西医结合医院,杭州市下城区中西医结合医院,公立/综合医院,未知
浙江省,杭州市,下城区,浙江中医药大学附属中西医结合医院,浙江中医药大学附属中西医结合医院,公立/综合医院,三级甲等　　
浙江省,杭州市,下城区,浙江省人民医院,浙江省立医院,公立/综合医院,三级甲等　　
浙江省,杭州市,下城区,杭州市红十字会医院,浙江省中西医结合医院、浙江中医药大学附属中西医结合医院,公立/综合医院,三级甲等　　
浙江省,杭州市,下城区,浙江大学医学院附属儿童医院,浙江大学医学院附属儿童医院,公立/综合医院,三级甲等　　
浙江省,杭州市,下城区,杭州江城骨科医院,杭州江城骨科医院,合资/专科医院,未知
浙江省,杭州市,下城区,浙江工业大学校医院,浙江工业大学校医院,其他/综合医院,未知
浙江省,杭州市,下城区,杭州整形医院,杭州手外科医院,其他/专科医院,三级医院
浙江省,杭州市,下城区,杭州市预防保健门诊部,杭州市预防保健门诊部,其他/门诊,未知
浙江省,杭州市,下城区,杭州爱德医院,杭州爱德医院,公立/综合医院,三级医院
浙江省,杭州市,下城区,杭州骨科医院,杭州骨科医院,民营/专科医院,民营医院
浙江省,杭州市,下城区,杭州复旦医院,杭州复旦医院儿科,合资/专科医院,未知
浙江省,杭州市,下城区,杭州复旦儿童医院,杭州复旦医院,合资/专科医院,未知
浙江省,杭州市,下城区,杭州京都医院,杭州耳鼻喉医院_杭州鼻炎医院,合资/综合医院,未评级
浙江省,杭州市,下城区,杭州红房子妇产医院,杭州红房子妇产医院,民营/专科医院,未知
