省,市,区,全名,别名,性质,等级
浙江省,杭州市,江干区,杭州市江干区九堡医院,杭州市江干区九堡镇社区卫生服务中心，江干区九堡镇医院,公立/综合医院,一级甲等
浙江省,杭州市,江干区,江干区笕桥医院,江干区笕桥医院,公立/综合医院,未知
浙江省,杭州市,江干区,杭州电子科技大学校医院,杭州电子科技大学校医院,其他/其他,未知
浙江省,杭州市,江干区,浙江省农科院卫生所,浙江省农科院卫生所,其他/其他,未知
浙江省,杭州市,江干区,杭州市经济技术开发区下沙镇社区卫生服务中心,杭州市经济技术开发区下沙镇社区卫生服务中心,其他/其他,未知
浙江省,杭州市,江干区,杭州市江干区闸弄口街道社区卫生服务中心,杭州市江干区闸弄口街道社区卫生服务中心,其他/其他,未知
浙江省,杭州市,江干区,杭州市江干区凯旋街道社区卫生服务中心,杭州市江干区凯旋街道社区卫生服务中心,其他/其他,未知
浙江省,杭州市,江干区,杭州市江干区笕桥镇社区卫生服务中心,杭州市江干区笕桥镇社区卫生服务中心,其他/其他,未知
浙江省,杭州市,江干区,杭州市江干区采荷街道社区卫生服务中心,杭州市江干区采荷街道社区卫生服务中心,其他/其他,未知
浙江省,杭州市,江干区,杭州仁易堂中医康复医院,杭州仁易堂中医康复医院,其他/综合医院,未知
浙江省,杭州市,江干区,杭州绿康老年康复医院,杭州绿康老年康复医院,民营/其他,未知
浙江省,杭州市,江干区,杭州大同中医门诊部,杭州大同中医门诊部,其他/门诊,未知
浙江省,杭州市,江干区,浙江省公安边防总队医院,浙江省公安边防总队医院,公立/综合医院,未知
浙江省,杭州市,江干区,杭州市江干区妇幼保健院,杭州市江干区妇幼保健院,公立/综合医院,未知
浙江省,杭州市,江干区,浙江省残疾儿童康复中心,浙江省残疾儿童康复中心,公立/综合医院,未知
浙江省,杭州市,江干区,浙江省第六监狱医院,浙江省第六监狱医院,公立/综合医院,未知
浙江省,杭州市,江干区,杭州市东城医院,杭州市东城医院,公立/综合医院,未知
浙江省,杭州市,江干区,杭州市江干区红十字会医院,杭州市江干区红十字会医院,公立/综合医院,未知
浙江省,杭州市,江干区,杭州市江干区中医院,杭州市江干区中医院,公立/综合医院,未知
浙江省,杭州市,江干区,杭州市江干区人民医院,杭州市江干区人民医院,公立/综合医院,二级甲等
浙江省,杭州市,江干区,杭州市第四人民医院杭州市肿瘤医院,杭州市第四人民医院杭州市肿瘤医院,公立/专科医院,二级甲等
浙江省,杭州市,江干区,浙江省青春医院浙江省监狱中心医院,浙江省青春医院浙江省监狱中心医院,公立/综合医院,二级甲等
浙江省,杭州市,江干区,杭州市烧伤医院,杭州市烧伤医院,公立/综合医院,二级甲等
浙江省,杭州市,江干区,杭州广仁医院,杭州广仁医院,民营/综合医院,未知
浙江省,杭州市,江干区,浙江大学医学院附属邵逸夫医院,邵逸夫医院,公立/综合医院,三级甲等　　
浙江省,杭州市,江干区,江干区九堡医院,江干区九堡医院,公立/综合医院,一级乙等
浙江省,杭州市,江干区,杭州新城医院,杭州新城医院,个体户/综合医院,一级甲等
浙江省,杭州市,江干区,杭州城东医院,杭州城东医院,民营/综合医院,未评级
