省,市,区,全名,别名,性质,等级
浙江省,杭州市,萧山区,萧山医院,萧山医院,公立/综合医院,二级甲等
浙江省,杭州市,萧山区,浙江萧山医院浙美整形美容中心,浙江萧山医院浙美整形美容中心,公立/综合医院,二级甲等
浙江省,杭州市,萧山区,萧山东方医院,萧山东方医学院,民营/综合医院,民营医院
浙江省,杭州市,萧山区,萧山医院（原杭州市萧山区妇幼保健院）,萧山医院,公立/妇幼保健医院,未知
浙江省,杭州市,萧山区,萧山第一人民医院分院,萧山第一人民医院分院,公立/综合医院,未知
浙江省,杭州市,萧山区,杭州二棉职工医院,杭州二棉职工医院,公立/综合医院,一级甲等
浙江省,杭州市,萧山区,萧山区皮肤病防治院,萧山区皮肤病防治院,公立/综合医院,未知
浙江省,杭州市,萧山区,萧山区盈丰卫生院,杭州市萧山盈丰骨伤科医院,公立/综合医院,一级甲等
浙江省,杭州市,萧山区,萧山九龙男科医院,杭州萧山九龙男科医院,民营/专科医院,民营医院
浙江省,杭州市,萧山区,萧山区精神病医院,萧山区精神病医院,公立/综合医院,二级甲等
浙江省,杭州市,萧山区,浙江萧山医院,浙江萧山医院,公立/综合医院,未知
浙江省,杭州市,萧山区,萧山登峰医院,萧山登峰医院,公立/综合医院,未知
浙江省,杭州市,萧山区,杭州萧然女子医院,萧然女子医院,民营/综合医院,民营医院
浙江省,杭州市,萧山区,杭州前进齿轮和集团公司职工医院,杭州前进齿轮和集团公司职工医院,公立/综合医院,未知
浙江省,杭州市,萧山区,杭州市萧山区激光医院,杭州市萧山区激光医院,公立/综合医院,未知
浙江省,杭州市,萧山区,浙江萧山月子护理院,浙江萧山月子护理院,公立/综合医院,未知
浙江省,杭州市,萧山区,杭州萧山仁豪医院,杭州萧山仁豪医院,公立/综合医院,未知
浙江省,杭州市,萧山区,杭州市萧山登峰医院,杭州市萧山登峰医院,民营/综合医院,未知
浙江省,杭州市,萧山区,杭州市萧山区皮肤病医院,杭州市萧山区皮肤病医院,公立/综合医院,未知
浙江省,杭州市,萧山区,杭州萧山华东医院,杭州萧山华东医院,民营/综合医院,未知
浙江省,杭州市,萧山区,杭州萧山钱江医院,杭州萧山钱江医院,民营/综合医院,未知
浙江省,杭州市,萧山区,杭州杭发集团公司职工医院,杭州杭发集团公司职工医院,公立/综合医院,未知
浙江省,杭州市,萧山区,杭州第二棉纺织厂职工医院,杭州第二棉纺织厂职工医院,公立/综合医院,一级甲等
浙江省,杭州市,萧山区,杭州市萧山区皮肤病防治院,杭州市萧山区皮肤病防治院,公立/综合医院,一级甲等
浙江省,杭州市,萧山区,杭州市萧山区中医骨伤科医院,杭州市萧山区中医骨伤科医院,公立/综合医院,二级乙等
浙江省,杭州市,萧山区,杭州市萧山区第六人民医院,杭州市萧山区第六人民医院,公立/综合医院,二级乙等
浙江省,杭州市,萧山区,萧山经济技术开发区医院,萧山经济技术开发区医院,民营/综合医院,二级甲等
浙江省,杭州市,萧山区,杭州市萧山区第三人民医院,杭州市萧山区第三人民医院,公立/综合医院,二级甲等
浙江省,杭州市,萧山区,杭州市萧山区第二人民医院,杭州市萧山区第二人民医院,公立/综合医院,二级甲等
浙江省,杭州市,萧山区,杭州市萧山区中医院,杭州市萧山区中医院,公立/综合医院,三级乙等
浙江省,杭州市,萧山区,杭州市萧山区第一人民医院,杭州市萧山区第一人民医院,公立/综合医院,三级乙等
浙江省,杭州市,萧山区,浙江中医药大学附属第二医院,浙江省新华医院,公立/综合医院,三级乙等
浙江省,杭州市,萧山区,杭州萧山大园医院,杭州萧山大园医院,其他/综合医院,未知
浙江省,杭州市,萧山区,杭州萧山长山医院,杭州萧山长山医院,其他/综合医院,未知
浙江省,杭州市,萧山区,萧山区妇幼保健院,萧山区妇幼保健院,公立/综合医院,一级甲等
浙江省,杭州市,萧山区,杭州市萧山区第五人民医院杭州市萧山区红十字医院,杭州市萧山区第五人民医院杭州市萧山区红十字医院,公立/综合医院,二级甲等
