省,市,区,全名,别名,性质,等级
浙江省,杭州市,富阳市,中船公司七一五研究所职工医院,中船公司七一五研究所职工医院,公立/综合医院,一级甲等
浙江省,杭州市,富阳市,富阳市结核病防治所,富阳市结核病防治所,公立/综合医院,未知
浙江省,杭州市,富阳市,富阳市肿瘤康复医院,富阳市肿瘤康复医院,公立/专科医院,未知
浙江省,杭州市,富阳市,富阳市新登中医骨伤科医院,富阳市新登中医骨伤科医院,公立/综合医院,未知
浙江省,杭州市,富阳市,富阳市妇幼保健院,富阳市妇幼保健院,公立/专科医院,三级乙等
浙江省,杭州市,富阳市,富阳中医骨病医院,富阳中医骨病医院,公立/综合医院,未知
浙江省,杭州市,富阳市,富阳市第三人民医院富阳市精神病防治院,富阳市第三人民医院富阳市精神病防治院,公立/综合医院,二级乙等
浙江省,杭州市,富阳市,富阳市中医院,富阳市中医院,公立/综合医院,二级乙等
浙江省,杭州市,富阳市,富阳市人民医院,富阳市人民医院,公立/综合医院,二级甲等
浙江省,杭州市,富阳市,富阳市中医骨伤科医院,富阳市中医骨伤科医院,公立/综合医院,二级甲等
浙江省,杭州市,富阳市,富阳市第二人民医院,富阳市第二人民医院,公立/综合医院,二级甲等
浙江省,杭州市,富阳市,富阳区银湖街道高桥社区卫生服务中心,富阳区银湖街道高桥社区卫生服务中心,其他/综合医院,未知
浙江省,杭州市,富阳市,富阳区环山乡社区卫生服务中心,富阳区环山乡社区卫生服务中心,其他/综合医院,未知
浙江省,杭州市,富阳市,富阳区东洲街道社区卫生服务中心,富阳区东洲街道社区卫生服务中心,其他/综合医院,未知
浙江省,杭州市,富阳市,富阳区春建乡社区卫生服务中心,富阳区春建乡社区卫生服务中心,公立/综合医院,未知
浙江省,杭州市,富阳市,富阳区中医骨伤医院,富阳区中医骨伤医院,其他/专科医院,三级甲等　　
浙江省,杭州市,富阳市,杭州市富阳区第一人民医院,杭州市富阳区第一人民医院,其他/综合医院,三级乙等
浙江省,杭州市,富阳市,富阳区中医医院,富阳区中医医院,其他/专科医院,二级甲等
浙江省,杭州市,富阳市,富阳中山综合门诊部,富阳中山医院,民营/综合医院,民营医院
