省,市,区,全名,别名,性质,等级
浙江省,杭州市,桐庐县,桐庐县妇幼保健院,桐庐县妇幼保健院,公立/综合医院,未知
浙江省,杭州市,桐庐县,桐庐县第二人民医院,桐庐县第二人民医院,公立/综合医院,未知
浙江省,杭州市,桐庐县,桐庐县中医骨伤科医院,桐庐县中医骨伤科医院,公立/综合医院,未知
浙江省,杭州市,桐庐县,桐庐县富春江地区中医院,桐庐县富春江地区中医院,公立/综合医院,未知
浙江省,杭州市,桐庐县,桐庐县分水人民医院,桐庐县分水人民医院,公立/综合医院,未知
浙江省,杭州市,桐庐县,杭州富春江医院,杭州富春江医院,民营/综合医院,未知
浙江省,杭州市,桐庐县,浙江省桐庐县第一人民医院,浙江省桐庐县第一人民医院,公立/综合医院,二级乙等
浙江省,杭州市,桐庐县,桐庐县中医院,桐庐县中医院,公立/综合医院,二级乙等
浙江省,杭州市,桐庐县,桐庐县第一人民医院,桐庐县第一人民医院,公立/综合医院,二级甲等
浙江省,杭州市,桐庐县,桐庐华山泌尿专科医院,桐庐华山泌尿专科医院,其他/专科医院,未知
浙江省,杭州市,桐庐县,桐君街道金西社区卫生服务站,桐君街道金西社区卫生服务站,其他/其他,未知
浙江省,杭州市,桐庐县,江南镇环溪村卫生室,江南镇环溪村卫生室,其他/其他,未知
