省,市,区,全名,别名,性质,等级
浙江省,宁波市,江东区,宁波江东兴宁门诊,兴宁门诊,个体户/综合医院,一级甲等
浙江省,宁波市,江东区,海军四一二医院宁波分院,海军四一二医院宁波分院,公立/综合医院,一级甲等
浙江省,宁波市,江东区,江东区白鹤医院健民肛肠医院,江东区白鹤医院健民肛肠医院,公立/综合医院,未知
浙江省,宁波市,江东区,宁波市医疗中心李惠利医院,宁波市医疗中心李惠利医院,公立/综合医院,三级甲等　　
浙江省,宁波市,江东区,宁波市第六医院,宁波市第六医院,公立/综合医院,二级甲等
浙江省,宁波市,江东区,宁波江东虹桥男科医院,宁波虹桥男科医院,民营/专科医院,未评级
浙江省,宁波市,江东区,宁波新东方中西医结合医院,宁波新东方不孕不育医院,民营/综合医院,未评级
浙江省,宁波市,江东区,宁波同仁男科医院,宁波同仁男科医院,公立/综合医院,一级甲等
浙江省,宁波市,江东区,宁波雅戈尔医院（民营）,宁波雅戈尔医院,个体户/综合医院,一级甲等
浙江省,宁波市,江东区,宁波市眼科医院,宁波江东眼科医院,公立/综合医院,一级甲等
浙江省,宁波市,江东区,宁波江东陈标新医疗美容诊所,陈标新整形美容医院,民营/专科医院,未评级
浙江省,宁波市,江东区,宁波江东艾博尔妇产医院,宁波艾博尔妇产医院,民营/专科医院,民营医院
浙江省,宁波市,江东区,宁波市江东区妇幼保健院,宁波市江东区妇幼保健院,其他/其他,未知
浙江省,宁波市,江东区,宁波健民肛肠医院,宁波健民肛肠医院,其他/专科医院,未知
浙江省,宁波市,江东区,宁波江东薇琳整形医院,宁波薇琳医美,其他/专科医院,未评级
