省,市,区,全名,别名,性质,等级
浙江省,宁波市,奉化市,奉华市妇幼保健所,奉华市妇幼保健所,公立/综合医院,一级甲等
浙江省,宁波市,奉化市,奉化市中医医院,奉化市中医医院,公立/中医医院,二级甲等
浙江省,宁波市,奉化市,奉化爱伊美医院,奉化爱伊美医院,民营/综合医院,未知
浙江省,宁波市,奉化市,奉化广仁医院,奉化广仁医院,公立/综合医院,未知
浙江省,宁波市,奉化市,奉化市人民医院,奉化市人民医院,公立/综合医院,二级甲等
浙江省,宁波市,奉化市,奉化市中医院,奉化市中医院,公立/综合医院,二级甲等
浙江省,宁波市,奉化市,奉化市妇幼保健院,奉化市妇幼保健院,公立/综合医院,未知
浙江省,宁波市,奉化市,奉化市第二医院,奉化市第二医院,公立/综合医院,未知
浙江省,宁波市,奉化市,奉化市陈卢翠中医院,奉化市陈卢翠中医院,民营/综合医院,未知
浙江省,宁波市,奉化市,奉化市口腔医院,奉化市口腔医院,民营/专科医院,未知
浙江省,宁波市,奉化市,奉化市安康医院,奉化市安康医院,民营/综合医院,一级乙等
浙江省,宁波市,奉化市,奉化田贝玉内科诊所,奉化田贝玉内科诊所,民营/门诊,未知
浙江省,宁波市,奉化市,奉化孙梦麟牙科诊所,奉化孙梦麟牙科诊所,其他/门诊,未知
浙江省,宁波市,奉化市,奉化孙慧翠内科诊所,奉化孙慧翠内科诊所,民营/门诊,未知
浙江省,宁波市,奉化市,奉化舒亚刚内科诊所,奉化舒亚刚内科诊所,民营/门诊,未知
浙江省,宁波市,奉化市,奉化市王寅芬中医诊所,奉化市王寅芬中医诊所,民营/门诊,未知
浙江省,宁波市,奉化市,奉化市屠笔莲口腔诊所,奉化市屠笔莲口腔诊所,民营/门诊,未知
浙江省,宁波市,奉化市,奉化市孙梦化口腔诊所,奉化市孙梦化口腔诊所,民营/门诊,未知
浙江省,宁波市,奉化市,奉化市慈善惠民门诊部,奉化市慈善惠民门诊部,民营/门诊,未知
浙江省,宁波市,奉化市,奉化新桥骨科医院,奉化新桥骨科医院,其他/专科医院,未知
浙江省,宁波市,奉化市,奉化溪口仁爱诊所,奉化溪口仁爱诊所,其他/门诊,未知
浙江省,宁波市,奉化市,奉化溪口口腔门诊部,奉化溪口口腔门诊部,其他/门诊,未知
浙江省,宁波市,奉化市,奉化市溪口医院,奉化市溪口医院,公立/综合医院,二级乙等
浙江省,宁波市,奉化市,奉化奉白内科诊所,奉化奉白内科诊所,其他/其他,未知
浙江省,宁波市,奉化市,奉化飞腾口腔诊所,奉化飞腾口腔诊所,其他/其他,未知
浙江省,宁波市,奉化市,奉化方阳口腔诊所,奉化方阳口腔诊所,民营/其他,未知
浙江省,宁波市,奉化市,奉化博远口腔诊所,奉化博远口腔诊所,其他/其他,未知
浙江省,宁波市,奉化市,奉化博善诊所,奉化博善诊所,其他/其他,未知
浙江省,宁波市,奉化市,东郊社区卫生服务站,东郊社区卫生服务站,其他/其他,未知
浙江省,宁波市,奉化市,莼湖镇卫生院,莼湖镇卫生院,民营/其他,未知
