省,市,区,全名,别名,性质,等级
浙江省,温州市,瓯海区,温州东方女子医院,温州东方女子医院,民营/专科医院,未知
浙江省,温州市,瓯海区,温州市第三人民医院,温州市第三人民医院,公立/综合医院,三级甲等　　
浙江省,温州市,瓯海区,温州市第二人民医院,温州市第二人民医院,公立/综合医院,三级甲等　　
浙江省,温州市,瓯海区,温州市瓯海区第三人民医院,温州市瓯海区第三人民医院,公立/综合医院,未知
浙江省,温州市,瓯海区,温州中山医院,温州中山医院,民营/综合医院,二级甲等
浙江省,温州市,瓯海区,温州市瓯海区瞿溪中心卫生院,温州市瓯海区瞿溪中心卫生院,公立/综合医院,一级甲等
浙江省,温州市,瓯海区,温州国鼎微创外科医院,温州国鼎医院,合资/综合医院,未评级
浙江省,温州市,瓯海区,温州同德医院,温州同德医院,民营/综合医院,未评级
浙江省,温州市,瓯海区,温州东方整形医院,温州东方整形医院,民营/专科医院,民营医院
浙江省,温州市,瓯海区,温州东方妇产医院,温州东方妇产医院,民营/专科医院,民营医院
浙江省,温州市,瓯海区,温州市瓯海区潘桥街道社区卫生服务中心,温州市瓯海区潘桥街道社区卫生服务中心,公立/综合医院,未知
浙江省,温州市,瓯海区,温州市瓯海区南白象街道社区卫生服务中心,温州市瓯海区南白象街道社区卫生服务中心,公立/综合医院,未知
浙江省,温州市,瓯海区,温州市瓯海区娄桥街道社区卫生服务中心,温州市瓯海区娄桥街道社区卫生服务中心,公立/综合医院,未知
浙江省,温州市,瓯海区,温州市瓯海区丽岙街道社区卫生服务中心,温州市瓯海区丽岙街道社区卫生服务中心,公立/综合医院,一级甲等
浙江省,温州市,瓯海区,温州市瓯海区瞿溪街道社区卫生服务中心,温州市瓯海区瞿溪街道社区卫生服务中心,公立/综合医院,未知
浙江省,温州市,瓯海区,温州市瓯海区郭溪镇社区卫生服务中心,温州市瓯海区郭溪镇卫生院,其他/综合医院,未知
浙江省,温州市,瓯海区,温州市瓯海区茶山街道社区卫生服务中心,茶山街道中心卫生院,其他/综合医院,未知
浙江省,温州市,瓯海区,温州市第七人民医院,温州市第七人民医院,其他/专科医院,未知
