省,市,区,全名,别名,性质,等级
浙江省,温州市,瑞安市,瑞安瑞丽医疗美容医院,瑞安瑞丽医疗美容医院,民营/专科医院,民营医院
浙江省,温州市,瑞安市,瑞安市红十字医院,瑞安市红十字医院,民营/综合医院,未知
浙江省,温州市,瑞安市,瑞安市工人医院,瑞安市工人医院,公立/综合医院,未知
浙江省,温州市,瑞安市,瑞安市第五人民医院温州市精神病院,瑞安市第五人民医院温州市精神病院,公立/综合医院,二级甲等
浙江省,温州市,瑞安市,瑞安市第三人民医院,瑞安市第三人民医院,公立/综合医院,二级甲等
浙江省,温州市,瑞安市,瑞安市第二人民医院瑞安市仙降医院,瑞安市第二人民医院瑞安市仙降医院,公立/综合医院,二级甲等
浙江省,温州市,瑞安市,瑞安市妇幼保健院,瑞安市妇幼保健院,公立/综合医院,二级甲等
浙江省,温州市,瑞安市,瑞安市中医院,瑞安市中医院,公立/综合医院,三级乙等
浙江省,温州市,瑞安市,瑞安市人民医院温州医学院附属第三医院,瑞安市人民医院温州医学院附属第三医院,公立/综合医院,三级甲等　　
浙江省,温州市,瑞安市,瑞安市陶山中心卫生院,瑞安市陶山中心卫生院,其他/其他,未知
浙江省,温州市,瑞安市,瑞安市塘下人民医院,瑞安市塘下人民医院,其他/其他,未知
