省,市,区,全名,别名,性质,等级
浙江省,嘉兴市,海宁市,海宁市第二人民医院,海宁市马桥中医妇科医院,公立/综合医院,未知
浙江省,嘉兴市,海宁市,海宁市第四人民医院,海宁市第四人民医院,公立/综合医院,未知
浙江省,嘉兴市,海宁市,海宁市第三人民医院,海宁市第三人民医院,公立/综合医院,未知
浙江省,嘉兴市,海宁市,海宁市妇幼保健院,海宁市妇幼保健院,公立/综合医院,二级乙等
浙江省,嘉兴市,海宁市,海宁市人民医院,海宁市人民医院,公立/综合医院,二级甲等
浙江省,嘉兴市,海宁市,海宁市中医院,海宁市中医院,公立/综合医院,二级甲等
浙江省,嘉兴市,海宁市,海宁市许村镇许巷卫生院,海宁市许村镇许巷卫生院,其他/其他,未知
浙江省,嘉兴市,海宁市,海宁许村康齿口腔门诊部,海宁许村康齿口腔门诊部,其他/门诊,未知
浙江省,嘉兴市,海宁市,海宁周慧珍口腔诊所,海宁周慧珍口腔诊所,民营/门诊,未知
浙江省,嘉兴市,海宁市,海宁微笑口腔门诊部,海宁微笑口腔门诊部,民营/门诊,未知
浙江省,嘉兴市,海宁市,海宁市周王庙镇卫生院,海宁市周王庙镇卫生院,其他/其他,未知
浙江省,嘉兴市,海宁市,海宁市袁花中心卫生院,海宁市袁花中心卫生院,其他/综合医院,未知
浙江省,嘉兴市,海宁市,海宁市盐官镇卫生院,海宁市盐官镇卫生院,其他/其他,未知
浙江省,嘉兴市,海宁市,海宁市疾病预防控制中心,海宁市疾病预防控制中心,其他/其他,未知
浙江省,嘉兴市,海宁市,海宁市海洲街道卫生院,海宁市海洲街道卫生院,其他/综合医院,未知
浙江省,嘉兴市,海宁市,海宁市海昌街道卫生院,海宁市海昌街道卫生院,其他/综合医院,未知
浙江省,嘉兴市,海宁市,海宁市长安镇卫生院,海宁市长安镇卫生院,其他/综合医院,二级医院
浙江省,嘉兴市,海宁市,海宁刘海龙牙科诊所,海宁刘海龙牙科诊所,民营/门诊,未知
浙江省,嘉兴市,海宁市,海宁李森牙科,海宁李森牙科,其他/专科医院,未知
浙江省,嘉兴市,海宁市,海宁富春骨伤医院,海宁富春骨伤医院,其他/专科医院,未知
浙江省,嘉兴市,海宁市,海宁康华医院,海宁康华医院,民营/综合医院,三级乙等
浙江省,嘉兴市,海宁市,海宁市海昌街道狮岭门诊部,海宁市海昌街道狮岭门诊部,其他/门诊,未知
