省,市,区,全名,别名,性质,等级
浙江省,嘉兴市,桐乡市,桐乡市皮肤病防治院,桐乡市皮肤病防治院,公立/综合医院,未知
浙江省,嘉兴市,桐乡市,桐乡市妇幼保健院,桐乡市妇幼保健院,公立/综合医院,未知
浙江省,嘉兴市,桐乡市,桐乡市乌镇精神病院,桐乡市乌镇精神病院,公立/综合医院,未知
浙江省,嘉兴市,桐乡市,桐乡市濮院中心医院,桐乡市濮院中心医院,公立/综合医院,未知
浙江省,嘉兴市,桐乡市,嘉兴市康慈医院,嘉兴市心理卫生中心、桐乡市心身疾病防治中心,公立/综合医院,二级甲等
浙江省,嘉兴市,桐乡市,桐乡市第二人民医院,桐乡市第二人民医院,公立/综合医院,二级甲等
浙江省,嘉兴市,桐乡市,桐乡市第一人民医院,桐乡市第一人民医院,公立/综合医院,二级甲等
浙江省,嘉兴市,桐乡市,桐乡市中医院,桐乡市中医院,公立/综合医院,二级甲等
浙江省,嘉兴市,桐乡市,桐乡市第三人民医院,桐乡市第三人民医院,公立/综合医院,二级甲等
浙江省,嘉兴市,桐乡市,嘉兴市康慈医院嘉兴市心理卫生中心,嘉兴市康慈医院嘉兴市心理卫生中心,公立/综合医院,一级甲等
浙江省,嘉兴市,桐乡市,桐乡市龙翔街道卫生院,桐乡市龙翔街道卫生院,其他/综合医院,未知
浙江省,嘉兴市,桐乡市,桐乡市屠甸镇卫生院,桐乡市屠甸镇卫生院,其他/综合医院,未知
浙江省,嘉兴市,桐乡市,桐乡乌镇申仕新诊所,桐乡乌镇申仕新诊所,其他/门诊,未知
浙江省,嘉兴市,桐乡市,桐乡同德中医门诊部,桐乡同德中医门诊部,民营/门诊,未知
浙江省,嘉兴市,桐乡市,桐乡星光医院,桐乡星光医院,其他/综合医院,二级医院
浙江省,嘉兴市,桐乡市,桐乡梧桐宋激口腔诊所,桐乡梧桐宋激口腔诊所,民营/门诊,未知
浙江省,嘉兴市,桐乡市,桐乡梧桐沈国燕口腔诊所,桐乡梧桐沈国燕口腔诊所,民营/门诊,未知
浙江省,嘉兴市,桐乡市,浙江雅达国际康复医院,浙江雅达国际康复医院,其他/专科医院,未知
浙江省,嘉兴市,桐乡市,桐乡崇福范国权中医骨伤科诊所,桐乡崇福范国权中医骨伤科诊所,其他/门诊,未知
浙江省,嘉兴市,桐乡市,嘉兴市康慈医院,嘉兴市康慈医院,公立/专科医院,三级乙等
