省,市,区,全名,别名,性质,等级
浙江省,嘉兴市,嘉善县,嘉善县职工医院,嘉善县职工医院,公立/综合医院,未知
浙江省,嘉兴市,嘉善县,嘉善县妇幼保健所,嘉善县妇幼保健所,公立/综合医院,未知
浙江省,嘉兴市,嘉善县,嘉善县中医院,嘉善县中医院,公立/综合医院,二级乙等
浙江省,嘉兴市,嘉善县,嘉善县第二人民医院,嘉善县第二人民医院,公立/综合医院,二级甲等
浙江省,嘉兴市,嘉善县,嘉善县第一人民医院,嘉善县第一人民医院,公立/综合医院,二级甲等
浙江省,嘉兴市,嘉善县,姚庄镇俞北社区卫生服务站,姚庄镇俞北社区卫生服务站,公立/其他,未知
浙江省,嘉兴市,嘉善县,姚庄镇俞汇社区卫生服务站,姚庄镇俞汇社区卫生服务站,公立/综合医院,未知
浙江省,嘉兴市,嘉善县,姚庄镇中联社区卫生服务站,姚庄镇中联社区卫生服务站,公立/其他,未知
浙江省,嘉兴市,嘉善县,天凝镇欣杨社区卫生服务站,勤丰社区卫生服务站,其他/综合医院,未知
浙江省,嘉兴市,嘉善县,天凝镇杨庙社区卫生服务站,天凝镇杨庙社区卫生服务站,其他/综合医院,未知
浙江省,嘉兴市,嘉善县,魏塘街道里新社区卫生服务站,魏塘街道里新社区卫生服务站,其他/其他,未知
浙江省,嘉兴市,嘉善县,嘉善县惠民镇卫生院,嘉善县惠民镇卫生院,公立/其他,未知
浙江省,嘉兴市,嘉善县,嘉善县干窑镇卫生院,嘉善县干窑镇卫生院,其他/门诊,未知
浙江省,嘉兴市,嘉善县,嘉善县丁栅镇卫生院,嘉善县丁栅镇卫生院,公立/其他,未知
浙江省,嘉兴市,嘉善县,嘉善五洲中西医结合医院,嘉善五洲中西医结合医院,其他/综合医院,未知
浙江省,嘉兴市,嘉善县,嘉善县东方康复医院,嘉善县东方康复医院,其他/综合医院,未知
浙江省,嘉兴市,嘉善县,嘉善枫南骨伤医院,嘉善枫南骨伤医院,其他/综合医院,未知
浙江省,嘉兴市,嘉善县,嘉善嘉辰外科医院,嘉善嘉辰外科医院,其他/其他,未知
浙江省,嘉兴市,嘉善县,嘉善魏塘崔玉兰口腔诊所,嘉善魏塘崔玉兰口腔诊所,民营/门诊,未知
浙江省,嘉兴市,嘉善县,嘉善农工医疗诊所,嘉善农工医疗诊所,其他/门诊,未知
浙江省,嘉兴市,嘉善县,嘉善魏塘方锦康诊所,嘉善魏塘方锦康诊所,民营/门诊,未知
浙江省,嘉兴市,嘉善县,嘉善魏塘费志超中医诊所,嘉善魏塘费志超中医诊所,民营/门诊,未知
浙江省,嘉兴市,嘉善县,嘉善魏塘甘冠华口腔诊所,嘉善魏塘甘冠华口腔诊所,民营/门诊,未知
浙江省,嘉兴市,嘉善县,嘉善魏塘李贵春诊所,嘉善魏塘李贵春诊所,民营/其他,未知
浙江省,嘉兴市,嘉善县,大云镇曹家社区卫生服务站,大云镇曹家社区卫生服务站,其他/其他,未知
