省,市,区,全名,别名,性质,等级
浙江省,嘉兴市,海盐县,中国核工业第二二建筑公司二工程公司职工医院,中国核工业第二二建筑公司二工程公司职工医院,公立/综合医院,一级甲等
浙江省,嘉兴市,海盐县,海盐县牙病防治所,海盐县牙病防治所,公立/综合医院,未知
浙江省,嘉兴市,海盐县,海盐县妇幼保健院,海盐县妇幼保健院,公立/综合医院,未知
浙江省,嘉兴市,海盐县,海盐县中医院,海盐县中医院,公立/综合医院,二级乙等
浙江省,嘉兴市,海盐县,海盐县人民医院,海盐县人民医院,公立/综合医院,二级甲等
浙江省,嘉兴市,海盐县,中国核工业二四公司核电工程公司工地医院,中国核工业二四公司核电工程公司工地医院,公立/综合医院,一级甲等
浙江省,嘉兴市,海盐县,海盐县沈荡医院,海盐县沈荡医院,公立/综合医院,未知
浙江省,嘉兴市,海盐县,中国核工业第二三建筑公司三工程公司职工医院,中国核工业第二三建筑公司三工程公司职工医院,公立/综合医院,一级甲等
浙江省,嘉兴市,海盐县,海盐县元通街道社区卫生服务中心,海盐县元通街道社区卫生服务中心,其他/其他,未知
浙江省,嘉兴市,海盐县,海盐县于城镇卫生院,海盐县于城镇卫生院,其他/综合医院,未知
浙江省,嘉兴市,海盐县,海盐县西塘桥街道海塘社区卫生服务中心,海盐县西塘桥街道海塘社区卫生服务中心,公立/综合医院,未知
浙江省,嘉兴市,海盐县,海盐县武原街道社区卫生服务中心,海盐县武原街道卫生院,其他/综合医院,未知
浙江省,嘉兴市,海盐县,海盐县通元镇卫生院,海盐县通元镇卫生院,其他/综合医院,未知
浙江省,嘉兴市,海盐县,海盐县通元镇石泉卫生院,海盐县通元镇石泉卫生院,其他/其他,未知
浙江省,嘉兴市,海盐县,海盐县秦山街道社区卫生服务中心,海盐县秦山街道社区卫生服务中心,其他/其他,未知
浙江省,嘉兴市,海盐县,海盐县口腔医院,海盐县口腔医院,公立/专科医院,未知
浙江省,嘉兴市,海盐县,海盐县康宁医院,海盐县康宁医院,其他/专科医院,未知
浙江省,嘉兴市,海盐县,海盐县康复护理院,海盐县康复护理院,公立/专科医院,未知
浙江省,嘉兴市,海盐县,海盐县澉浦镇卫生院,海盐县澉浦镇卫生院,公立/综合医院,未知
浙江省,嘉兴市,海盐县,海盐县百步镇卫生院,海盐县百步镇卫生院,其他/综合医院,未知
浙江省,嘉兴市,海盐县,海盐县百步镇横港卫生院,海盐县百步镇横港卫生院,其他/其他,未知
