省,市,区,全名,别名,性质,等级
浙江省,湖州市,长兴县,湖州阳光女子医院,湖州阳光女子医院,公立/综合医院,一级甲等
浙江省,湖州市,长兴县,长兴县煤山地区医院,长兴县煤山地区医院,公立/综合医院,未知
浙江省,湖州市,长兴县,长兴骨科医院,长兴骨科医院,民营/专科医院,未知
浙江省,湖州市,长兴县,浙江三狮水泥股份有限公司职工医院,浙江三狮水泥股份有限公司职工医院,公立/综合医院,未知
浙江省,湖州市,长兴县,长兴县泗安地区医院,长兴县泗安地区医院,公立/综合医院,未知
浙江省,湖州市,长兴县,长兴县和平地区医院,长兴县和平地区医院,民营/综合医院,未知
浙江省,湖州市,长兴县,长兴县李家巷地区医院,长兴县李家巷地区医院,公立/综合医院,未知
浙江省,湖州市,长兴县,长兴县皮肤病防治站,长兴县皮肤病防治站,公立/综合医院,未知
浙江省,湖州市,长兴县,长兴县妇幼保健院,长兴县妇幼保健院,公立/专科医院,三级乙等
浙江省,湖州市,长兴县,浙江长广集团公司职工医院,浙江长广集团公司职工医院,公立/综合医院,二级甲等
浙江省,湖州市,长兴县,长兴县博济医院,长兴县博济医院,民营/综合医院,二级甲等
浙江省,湖州市,长兴县,长兴县中医院,长兴县中医院,公立/综合医院,二级甲等
浙江省,湖州市,长兴县,长兴县人民医院,长兴县人民医院,公立/综合医院,二级甲等
浙江省,湖州市,长兴县,浙北创伤医院,浙北创伤医院,公立/综合医院,二级甲等
浙江省,湖州市,长兴县,长湖建筑材料厂医院,长湖建筑材料厂医院,公立/综合医院,一级甲等
