省,市,区,全名,别名,性质,等级
浙江省,湖州市,安吉县,浙江省南湖医院,浙江省南湖医院,公立/综合医院,二级甲等
浙江省,湖州市,安吉县,安吉县递铺街道安城卫生院,安吉县递铺街道安城卫生院,其他/其他,未知
浙江省,湖州市,安吉县,安吉县城北卫生院,安吉县城北卫生院,其他/其他,未知
浙江省,湖州市,安吉县,安吉县鄣吴镇卫生院,安吉县鄣吴镇卫生院,其他/其他,未知
浙江省,湖州市,安吉县,安吉县专科医疗咨询门诊部,安吉专科医院,其他/专科医院,未知
浙江省,湖州市,安吉县,安吉虹桥医学门诊部,湖州安吉虹桥医院,其他/专科医院,未评级
浙江省,湖州市,安吉县,安吉县第二人民医院,安吉县第二人民医院,公立/综合医院,未知
浙江省,湖州市,安吉县,安吉县南湖医院,安吉县南湖医院,公立/综合医院,未知
浙江省,湖州市,安吉县,安吉县妇幼保健院,安吉县妇幼保健院,公立/综合医院,未知
浙江省,湖州市,安吉县,安吉县中医院,安吉县中医院,公立/综合医院,二级乙等
浙江省,湖州市,安吉县,安吉县第三人民医院,安吉县第三人民医院,公立/综合医院,二级乙等
浙江省,湖州市,安吉县,安吉县人民医院,安吉县人民医院,公立/综合医院,二级乙等
浙江省,湖州市,安吉县,安吉县人民医院,安吉县人民医院,公立/综合医院,二级甲等
浙江省,湖州市,安吉县,安吉县中医医院,安吉县中医医院,其他/专科医院,二级甲等
