省,市,区,全名,别名,性质,等级
浙江省,湖州市,吴兴区,湖州市吴兴区中西医结合医院,湖州肛肠医院,公立/综合医院,二级乙等
浙江省,湖州市,吴兴区,湖州曙光整形医院,湖州整形美容医院,个体户/综合医院,一级甲等
浙江省,湖州市,吴兴区,湖州五洲生殖医学医院,湖州五洲医院,民营/未知,未知
浙江省,湖州市,吴兴区,解放军第九八医院,湖州市福音医院、湖州九八医院,公立/综合医院,三级甲等　　
浙江省,湖州市,吴兴区,湖州吴兴织里仁济妇科医院,织里仁济妇科医院,民营/专科医院,未评级
浙江省,湖州市,吴兴区,湖州市第一人民医院,湖州市第一人民医院,公立/综合医院,三级乙等
浙江省,湖州市,吴兴区,湖州市妇幼保健医院,湖州市妇幼保健医院,公立/专科医院,三级甲等　　
浙江省,湖州市,吴兴区,湖州市妇幼保健院,湖州市妇幼保健院,公立/综合医院,三级甲等　　
浙江省,湖州市,吴兴区,湖州市中医院,湖州市中医院,公立/综合医院,三级甲等　　
浙江省,湖州市,吴兴区,湖州市第三人民医院,湖州市第三人民医院,公立/综合医院,三级甲等　　
浙江省,湖州市,吴兴区,湖州市中心医院,湖州市中心医院,公立/综合医院,三级甲等　　
浙江省,湖州市,吴兴区,吴兴区人民医院,湖州市第一人民医院吴兴分院,公立/综合医院,二级乙等
浙江省,湖州市,吴兴区,湖州康复医院,湖州康复医院,其他/专科医院,未知
浙江省,湖州市,吴兴区,湖州爱尔眼科医院,湖州爱尔眼科,民营/专科医院,民营医院
