省,市,区,全名,别名,性质,等级
浙江省,绍兴市,越城区,绍兴第二医院,浙医一院绍兴分院，绍兴福康医院,公立/综合医院,三级乙等
浙江省,绍兴市,越城区,绍兴第二医院分院,绍兴第二医院分院,公立/综合医院,一级甲等
浙江省,绍兴市,越城区,绍兴市中医院,绍兴市中医院,公立/综合医院,二级甲等
浙江省,绍兴市,越城区,绍兴市第六人民医院,绍兴市第六人民医院,公立/综合医院,三级甲等　　
浙江省,绍兴市,越城区,绍兴市妇幼保健院,绍兴市妇女儿童医院,公立/综合医院,三级甲等　　
浙江省,绍兴市,越城区,绍兴市第七人民医院,绍兴市第七人民医院,公立/综合医院,三级乙等
浙江省,绍兴市,越城区,绍兴市第二医院分院,绍兴市第二医院分院,公立/综合医院,未知
浙江省,绍兴市,越城区,绍兴市人民医院鉴湖分院,绍兴市人民医院鉴湖分院,公立/综合医院,未知
浙江省,绍兴市,越城区,绍兴市第五医院,绍兴市第五医院,民营/综合医院,二级甲等
浙江省,绍兴市,越城区,绍兴市第二医院,绍兴市第二医院,公立/综合医院,三级乙等
浙江省,绍兴市,越城区,绍兴市人民医院,绍兴市人民医院,公立/综合医院,三级甲等　　
浙江省,绍兴市,越城区,绍兴军分区医院,绍兴白衙弄门诊部,公立/综合医院,未知
浙江省,绍兴市,越城区,绍兴越城新兴医院,绍兴新兴男科医院,民营/综合医院,民营医院
浙江省,绍兴市,越城区,绍兴市柯桥区越中口腔医院,越中口腔医院,民营/专科医院,民营医院
浙江省,绍兴市,越城区,绍兴越城华美医疗门诊部,绍兴华美妇科医院,民营/综合医院,未知
浙江省,绍兴市,越城区,绍兴市越城区妇幼保健所,绍兴市越城区妇幼保健所,其他/专科医院,未知
浙江省,绍兴市,越城区,绍兴市越城区斗门镇卫生院,绍兴市越城区斗门镇卫生院,其他/综合医院,未知
浙江省,绍兴市,越城区,绍兴市越城区东浦镇卫生院,绍兴市越城区东浦镇卫生院,其他/其他,未知
浙江省,绍兴市,越城区,浙江省绍兴市第六人民医院,浙江省绍兴市第六人民医院,其他/专科医院,三级乙等
浙江省,绍兴市,越城区,绍兴文理学院附属医院,绍兴文理学院附属医院,其他/综合医院,未知
浙江省,绍兴市,越城区,绍兴市口腔医院,绍兴市口腔医院,公立/专科医院,未知
