省,市,区,全名,别名,性质,等级
浙江省,绍兴市,嵊州市,嵊州市皮肤病防治所,嵊州市皮肤病防治所,公立/综合医院,未知
浙江省,绍兴市,嵊州市,嵊州市精神病防治院,嵊州市精神病防治院,公立/综合医院,未知
浙江省,绍兴市,嵊州市,嵊州市沈氏眼科医院,嵊州市沈氏眼科医院,民营/综合医院,未知
浙江省,绍兴市,嵊州市,嵊州市妇幼保健院,嵊州市妇幼保健院,公立/综合医院,未知
浙江省,绍兴市,嵊州市,嵊州市城关中心医院,嵊州市城关中心医院,公立/综合医院,未知
浙江省,绍兴市,嵊州市,嵊州市崇仁人民医院,嵊州市崇仁人民医院,公立/综合医院,未知
浙江省,绍兴市,嵊州市,嵊州市长乐人民医院,嵊州市长乐人民医院,公立/综合医院,未知
浙江省,绍兴市,嵊州市,嵊州市甘霖人民医院,嵊州市甘霖人民医院,公立/综合医院,一级甲等
浙江省,绍兴市,嵊州市,嵊州市中医院,嵊州市中医院,公立/综合医院,二级甲等
浙江省,绍兴市,嵊州市,嵊州市人民医院,嵊州市人民医院,公立/综合医院,二级甲等
浙江省,绍兴市,嵊州市,嵊州中医院,浙江省嵊州市中医院,公立/中医医院,二级甲等
浙江省,绍兴市,嵊州市,嵊州市济德医院,嵊州济德医院,民营/综合医院,未知
浙江省,绍兴市,嵊州市,嵊州市协和中草药研究所门诊部,嵊州协和医院,合资/门诊,民营医院
浙江省,绍兴市,嵊州市,嵊州天华中医门诊部,嵊州天华中医门诊部,其他/专科医院,未知
浙江省,绍兴市,嵊州市,嵊州市康复护理医院,嵊州市康复护理医院,民营/其他,民营医院
浙江省,绍兴市,嵊州市,嵊州沈氏眼科医院,嵊州沈氏眼科医院,其他/专科医院,未知
浙江省,绍兴市,嵊州市,嵊州三界康复医院,嵊州三界康复医院,其他/其他,未知
浙江省,绍兴市,嵊州市,嵊州仁爱门诊部,嵊州仁爱门诊部,其他/门诊,未知
