省,市,区,全名,别名,性质,等级
浙江省,金华市,婺城区,浙江师范大学医院,浙江师范大学医院,公立/综合医院,未知
浙江省,金华市,婺城区,金华眼科医院,金华眼视光医院,公立/综合医院,未知
浙江省,金华市,婺城区,金华市妇幼保健院,金华市妇幼保健院,公立/综合医院,未知
浙江省,金华市,婺城区,金华市第五医院,金华市第五医院,公立/综合医院,二级乙等
浙江省,金华市,婺城区,金华市人民医院,金华市人民医院,公立/综合医院,三级乙等
浙江省,金华市,婺城区,金华市中医院,金华市中医院,公立/综合医院,三级甲等　　
浙江省,金华市,婺城区,金华市中心医院,金华市中心医院,公立/综合医院,三级甲等　　
浙江省,金华市,婺城区,浙江金华中医院,浙江金华中医院,公立/综合医院,三级甲等　　
浙江省,金华市,婺城区,金华市精神病院,金华市精神病院,公立/综合医院,一级甲等
浙江省,金华市,婺城区,金华市艾克医院（民营）,金华市艾克医院,个体户/综合医院,一级甲等
浙江省,金华市,婺城区,金华人民医院,金华职业技术学院附属医院,公立/综合医院,三级乙等
浙江省,金华市,婺城区,金华市近视治疗中心,金华市近视治疗中心,公立/综合医院,一级甲等
浙江省,金华市,婺城区,金华铁路医院,金华铁路医院,公立/综合医院,一级甲等
浙江省,金华市,婺城区,金华同济泌尿外科医院,金华同济泌尿外科医院,公立/综合医院,一级甲等
浙江省,金华市,婺城区,金华博爱医院,金华博爱医院,个体户/综合医院,一级甲等
浙江省,金华市,婺城区,金华华山医院,金华华山医院,其他/综合医院,未知
浙江省,金华市,婺城区,金华仁爱医院,金华仁爱医院,个体户/综合医院,一级甲等
浙江省,金华市,婺城区,金华皮肤病防治院,金华皮肤病医院,其他/专科医院,未评级
浙江省,金华市,婺城区,金华市婺城区疾病预防控制中心,金华市婺城区疾病预防控制中心,公立/其他,未知
浙江省,金华市,婺城区,金华市婺城区蒋堂镇卫生院,金华市婺城区蒋堂镇卫生院,其他/其他,未知
浙江省,金华市,婺城区,金华市婺城区麻风病防治站,金华市婺城区麻风病防治站,其他/专科医院,未知
浙江省,金华市,婺城区,金华市婺城区塔石乡卫生院,金华市婺城区塔石乡卫生院,其他/其他,未知
浙江省,金华市,婺城区,金华市婺城区莘畈乡卫生院,金华市婺城区莘畈乡卫生院,其他/其他,未知
浙江省,金华市,婺城区,金华市婺城区竹马乡卫生院,金华市婺城区竹马乡卫生院,其他/其他,未知
浙江省,金华市,婺城区,金华婺城民安烧伤专科门诊部,金华烧伤烫伤专科,民营/专科医院,二级甲等
浙江省,金华市,婺城区,金华馨雨中医院,金华馨雨中医院,民营/综合医院,未知
浙江省,金华市,婺城区,金华秀贝口腔门诊部,金华秀贝口腔门诊部,其他/专科医院,未知
浙江省,金华市,婺城区,文荣医院,文荣医院,其他/综合医院,二级甲等
浙江省,金华市,婺城区,婺城区馨园牙科诊所,金华馨园口腔门诊部,其他/专科医院,未知
浙江省,金华市,婺城区,婺城区贝丽口腔诊所,婺城区贝丽口腔诊所,民营/门诊,未知
浙江省,金华市,婺城区,金华市婺城区第一人民医院,金华市婺城区第一人民医院,公立/综合医院,未知
浙江省,金华市,婺城区,金华市城北街道卫生院,凤凰山社区服务站,其他/综合医院,未知
浙江省,金华市,婺城区,金华瑞丽门诊部,金华瑞丽门诊部,民营/综合医院,未知
浙江省,金华市,婺城区,金华普济堂颈腰椎病专科门诊部,金华普济堂颈腰椎病专科门诊部,其他/专科医院,未知
浙江省,金华市,婺城区,金华口腔医院,金华口腔医院,其他/专科医院,二级甲等
浙江省,金华市,婺城区,金华九三门诊部,金华九三门诊部,其他/门诊,未知
浙江省,金华市,婺城区,金华济民门诊部,金华济民门诊部,民营/综合医院,未知
浙江省,金华市,婺城区,金华钭氏伤科医院,金华钭氏伤科医院,民营/专科医院,未知
浙江省,金华市,婺城区,金华贝齿乐口腔门诊部,金华贝齿乐口腔门诊部,其他/门诊,未知
浙江省,金华市,婺城区,金华邦尔正骨医院,金华邦尔正骨医院,民营/专科医院,二级医院
