省,市,区,全名,别名,性质,等级
浙江省,金华市,兰溪市,兰溪市马涧镇卫生服务中心,兰溪市马涧中心卫生院,个体户/综合医院,二级甲等
浙江省,金华市,兰溪市,兰溪瑞康医院,瑞康医院,民营/综合医院,民营医院
浙江省,金华市,兰溪市,兰溪市第三医院,兰溪市第三医院,公立/综合医院,未知
浙江省,金华市,兰溪市,兰溪市皮肤病防治站,兰溪市皮肤病防治站,公立/综合医院,未知
浙江省,金华市,兰溪市,兰溪市商业医院,兰溪市商业医院,公立/综合医院,未知
浙江省,金华市,兰溪市,浙江云山纺织印染有限公司职工医院,浙江云山纺织印染有限公司职工医院,公立/综合医院,未知
浙江省,金华市,兰溪市,兰溪市城北医院,兰溪市城北医院,公立/综合医院,未知
浙江省,金华市,兰溪市,兰溪市妇幼保健院,兰溪市妇幼保健院,公立/综合医院,未知
浙江省,金华市,兰溪市,兰溪市城西医院,兰溪市城西医院,公立/综合医院,未知
浙江省,金华市,兰溪市,兰溪市红十字会医院,兰溪市红十字会医院,公立/综合医院,二级甲等
浙江省,金华市,兰溪市,兰溪市中医院,兰溪市中医院,公立/综合医院,二级甲等
浙江省,金华市,兰溪市,兰溪市第二人民医院,兰溪市第二人民医院,公立/综合医院,二级甲等
浙江省,金华市,兰溪市,兰溪市人民医院,兰溪市人民医院,公立/综合医院,二级甲等
浙江省,金华市,兰溪市,兰溪邵小伟中医院,兰溪邵小伟中医院,民营/综合医院,未知
浙江省,金华市,兰溪市,兰溪康元医院,兰溪康元医院,民营/其他,未知
浙江省,金华市,兰溪市,兰溪康民医院,兰溪康民医院,其他/综合医院,未知
浙江省,金华市,兰溪市,兰溪惠利医院,兰溪惠利医院,民营/综合医院,未知
浙江省,金华市,兰溪市,兰溪华盛医院,兰溪华盛医院,其他/其他,未知
浙江省,金华市,兰溪市,兰溪甘溪康福医院,兰溪甘溪康福医院,其他/综合医院,未知
浙江省,金华市,兰溪市,兰溪登胜骨康医院,兰溪登胜骨康医院,其他/其他,未知
浙江省,金华市,兰溪市,兰溪爱荣中医院,兰溪爱荣中医院,公立/综合医院,未知
浙江省,金华市,兰溪市,兰江街道长岗社区卫生服务站,兰江街道长岗社区卫生服务站,其他/其他,未知
浙江省,金华市,兰溪市,兰溪市疾病预防控制中心,兰溪市疾病预防控制中心,其他/其他,未知
浙江省,金华市,兰溪市,兰溪市横溪镇卫生院,兰溪市横溪镇卫生院,其他/综合医院,未知
浙江省,金华市,兰溪市,兰溪市兰江医院殿山分院,兰溪市兰江医院殿山分院,其他/其他,未知
浙江省,金华市,兰溪市,兰溪市老年医院,兰溪市老年医院,民营/综合医院,未知
浙江省,金华市,兰溪市,兰溪市梅江镇中心卫生院,兰溪市梅江镇中心卫生院,其他/综合医院,一级甲等
浙江省,金华市,兰溪市,兰溪市人民医院（西院区）,浙医二院兰溪分院,其他/综合医院,二级甲等
浙江省,金华市,兰溪市,兰溪詹氏中医骨伤医院,兰溪詹氏中医骨伤医院,民营/专科医院,未知
浙江省,金华市,兰溪市,兰溪永球医院,兰溪永球医院,民营/综合医院,特级医院
浙江省,金华市,兰溪市,兰溪杨塘华峰中医门诊部,兰溪杨塘华峰中医门诊部,民营/门诊,未知
