省,市,区,全名,别名,性质,等级
浙江省,金华市,永康市,永康康美诺口腔医院,永康康美诺口腔,民营/专科医院,民营医院
浙江省,金华市,永康市,永康市第三人民医院,永康市第三人民医院,公立/综合医院,未知
浙江省,金华市,永康市,永康市第二人民医院,古山医院、杭州市中医院永康分院,公立/综合医院,未知
浙江省,金华市,永康市,永康市妇幼保健院,永康市妇幼保健院,公立/综合医院,未知
浙江省,金华市,永康市,永康市红十字会医院,永康市红十字会医院,公立/综合医院,二级甲等
浙江省,金华市,永康市,永康市中医院,永康市中医院,公立/综合医院,二级甲等
浙江省,金华市,永康市,永康市第一人民医院,永康市第一人民医院,公立/综合医院,二级甲等
浙江省,金华市,永康市,永康光大医疗美容医院,永康光大整形医院,民营/专科医院,民营医院
浙江省,金华市,永康市,永康凌志康复医院,永康凌志康复医院,其他/门诊,未知
浙江省,金华市,永康市,永康普济护理院,永康普济护理院,其他/专科医院,未知
浙江省,金华市,永康市,永康瑞金儿童医院,永康瑞金儿童医院,民营/专科医院,民营医院
浙江省,金华市,永康市,永康市方岩中心卫生院,永康市方岩中心卫生院,其他/综合医院,未知
浙江省,金华市,永康市,永康市花街中心卫生院,永康市花街中心卫生院,其他/综合医院,未知
浙江省,金华市,永康市,永康市江南街道社区卫生服务中心,永康市江南街道社区卫生服务中心,其他/其他,未知
浙江省,金华市,永康市,永康市经济开发区卫生院,永康市经济开发区卫生院,其他/综合医院,未知
浙江省,金华市,永康市,永康市龙山镇卫生院,永康市龙山镇卫生院,其他/综合医院,未知
浙江省,金华市,永康市,永康市石柱中心卫生院,永康市石柱中心卫生院,其他/综合医院,未知
浙江省,金华市,永康市,永康市唐先镇卫生院,永康市唐先镇卫生院,其他/综合医院,未知
浙江省,金华市,永康市,永康市西城街道社区卫生服务中心,永康市西城街道社区卫生服务中心,其他/综合医院,未知
浙江省,金华市,永康市,永康市象珠中心卫生院,永康市象珠中心卫生院,其他/其他,未知
浙江省,金华市,永康市,永康市芝英中心卫生院,永康市芝英中心卫生院,其他/其他,未知
浙江省,金华市,永康市,永康市舟山镇卫生院,永康市舟山镇卫生院,其他/综合医院,未知
浙江省,金华市,永康市,永康市骨科医院,永康市第六人民医院,公立/专科医院,二级乙等
