省,市,区,全名,别名,性质,等级
浙江省,金华市,东阳市,东阳市妇幼保健院,东阳市妇幼保健院,公立/综合医院,未知
浙江省,金华市,东阳市,东阳市皮肤病,东阳市皮肤病,公立/综合医院,未知
浙江省,金华市,东阳市,东阳市巍山医院东阳市肿瘤医院,东阳市巍山医院东阳市肿瘤医院,公立/专科医院,未知
浙江省,金华市,东阳市,东阳市红十字会医院,东阳市红十字会医院,公立/综合医院,未知
浙江省,金华市,东阳市,东阳市中医院,东阳市中医院,公立/综合医院,二级甲等
浙江省,金华市,东阳市,横店集团医院,横店集团医院,民营/综合医院,二级甲等
浙江省,金华市,东阳市,东阳市人民医院,东阳市人民医院,公立/综合医院,三级乙等
浙江省,金华市,东阳市,东阳市花园田氏医院,东阳市花园田氏医院,公立/综合医院,未知
浙江省,金华市,东阳市,横店医院,横店医院,公立/综合医院,一级甲等
浙江省,金华市,东阳市,东阳市佐村中心卫生院,东阳市佐村中心卫生院,其他/综合医院,未知
浙江省,金华市,东阳市,东阳市三单乡卫生院,东阳市三单乡卫生院,公立/其他,未知
浙江省,金华市,东阳市,东阳市中医院(新院),东阳市中医院(新院),其他/专科医院,三级乙等
浙江省,金华市,东阳市,东阳市千祥中心卫生院,东阳市千祥中心卫生院,其他/其他,未知
浙江省,金华市,东阳市,东阳市皮肤病医院,东阳市皮肤病医院,其他/综合医院,未知
浙江省,金华市,东阳市,东阳市南市街道卫生院,东阳市南市街道卫生院,其他/其他,未知
浙江省,金华市,东阳市,东阳市南马中心卫生院,东阳市南马中心卫生院,其他/专科医院,未知
浙江省,金华市,东阳市,东阳市马宅镇卫生院,东阳市马宅镇卫生院,其他/其他,未知
浙江省,金华市,东阳市,东阳市六石中心卫生院,东阳市六石中心卫生院,其他/专科医院,未知
浙江省,金华市,东阳市,东阳市精神病医院,东阳市精神病医院,公立/专科医院,二级乙等
浙江省,金华市,东阳市,东阳市疾病预防控制中心,原东阳市卫生防疫站,其他/其他,未知
浙江省,金华市,东阳市,东阳市画水中心卫生院,东阳市画水中心卫生院,其他/其他,未知
浙江省,金华市,东阳市,东阳市虎鹿镇卫生院,东阳市虎鹿镇卫生院,其他/综合医院,未知
浙江省,金华市,东阳市,东阳市湖溪中心卫生院,东阳市湖溪中心卫生院,公立/其他,未知
浙江省,金华市,东阳市,东阳市横店医院,东阳市骨伤科医院/东阳市第二人民医院,公立/综合医院,二级乙等
浙江省,金华市,东阳市,东阳市歌山镇卫生院,东阳市歌山镇卫生院,其他/综合医院,未知
浙江省,金华市,东阳市,东阳市东阳江镇卫生院,东阳市东阳江镇卫生院,其他/综合医院,未知
浙江省,金华市,东阳市,东阳市城东街道卫生院,东阳市城东街道卫生院,公立/其他,未知
浙江省,金华市,东阳市,东阳广福医院,东阳广福医院,其他/综合医院,未知
