省,市,区,全名,别名,性质,等级
浙江省,金华市,浦江县,浦江黄峰医院,浦江黄峰医院,民营/综合医院,未知
浙江省,金华市,浦江县,浦江县康复医院,浦江县康复医院,民营/综合医院,未知
浙江省,金华市,浦江县,浦江胜华医院,浦江胜华医院,民营/综合医院,未知
浙江省,金华市,浦江县,浦江县妇幼保健院,浦江县妇幼保健院,公立/综合医院,未知
浙江省,金华市,浦江县,浦江县牙病防治所,浦江县牙病防治所,公立/综合医院,未知
浙江省,金华市,浦江县,浦江县中医院,浦江县中医院,公立/综合医院,未知
浙江省,金华市,浦江县,浦江县人民医院,浦江县人民医院,公立/综合医院,二级乙等
浙江省,金华市,浦江县,磐安县第二人民医院,磐安县第二人民医院,其他/综合医院,未知
浙江省,金华市,浦江县,浦江博爱骨伤手外科医院,浦江博爱骨伤手外科医院,民营/专科医院,民营医院
浙江省,金华市,浦江县,浦江第二医院,浦江第二医院,其他/综合医院,二级乙等
浙江省,金华市,浦江县,浦江黄锋精神专科医院,浦江黄锋精神专科医院,民营/专科医院,未知
浙江省,金华市,浦江县,浦江康宁精神专科医院,浦江康宁精神专科医院,其他/专科医院,未知
浙江省,金华市,浦江县,浦江口腔医院,浦江口腔医院,其他/专科医院,未知
浙江省,金华市,浦江县,浦江县花桥乡卫生院,浦江县花桥乡卫生院,其他/其他,未知
浙江省,金华市,浦江县,浦江县黄宅镇卫生院,浦江县黄宅镇卫生院,其他/其他,未知
浙江省,金华市,浦江县,浦江县杭坪镇卫生院,浦江县杭坪镇卫生院,其他/综合医院,未知
浙江省,金华市,浦江县,浦江县檀溪中心卫生院,浦江县檀溪中心卫生院,其他/综合医院,未知
浙江省,金华市,浦江县,浦江县岩头镇卫生院,浦江县岩头镇卫生院,其他/综合医院,一级乙等
浙江省,金华市,浦江县,浦江县虞宅乡卫生院,浦江县虞宅乡卫生院,其他/其他,未知
浙江省,金华市,浦江县,浦江县郑家坞镇卫生院,浦江县郑家坞镇卫生院,其他/其他,未知
浙江省,金华市,浦江县,浦江县郑宅镇卫生院,浦江县郑宅镇卫生院,其他/其他,未知
浙江省,金华市,浦江县,浦江县中余乡卫生院,浦江县中余乡卫生院,其他/其他,未知
浙江省,金华市,浦江县,浦江天仙骨科医院,浦江天仙骨科医院,其他/专科医院,未知
浙江省,金华市,浦江县,浦江献礼医院,浦江献礼医院,其他/专科医院,未知
