省,市,区,全名,别名,性质,等级
浙江省,衢州市,龙游县,浙江省十里坪监狱医院,浙江省十里坪监狱医院,公立/综合医院,未知
浙江省,衢州市,龙游县,龙游十里坪劳动改造管教所医院,龙游十里坪劳动改造管教所医院,公立/综合医院,未知
浙江省,衢州市,龙游县,龙游县红十字会医院,龙游县红十字会医院,公立/综合医院,未知
浙江省,衢州市,龙游县,龙游肿瘤医院,龙游肿瘤医院,民营/专科医院,未知
浙江省,衢州市,龙游县,龙游县妇幼保健院,龙游县妇幼保健院,公立/综合医院,一级甲等
浙江省,衢州市,龙游县,龙游县中医院,龙游县中医院,公立/综合医院,二级乙等
浙江省,衢州市,龙游县,龙游县人民医院,龙游县人民医院,公立/综合医院,二级甲等
浙江省,衢州市,龙游县,龙游庄五一中医眼科诊所,龙游庄五一中医眼科诊所,民营/其他,未知
浙江省,衢州市,龙游县,龙游周家医院,龙游周家医院,其他/其他,未知
浙江省,衢州市,龙游县,龙游皮肤病门诊部,龙游皮肤病门诊部,其他/门诊,未知
浙江省,衢州市,龙游县,龙游美莱医疗美容门诊部,龙游美莱医疗美容门诊部,其他/门诊,未知
浙江省,衢州市,龙游县,龙游康民医院,龙游康民医院,民营/其他,未知
浙江省,衢州市,龙游县,龙游官潭医院,龙游官潭医院,其他/其他,未知
浙江省,衢州市,龙游县,龙游骨伤专科医院,龙游骨伤专科医院,其他/专科医院,未知
