省,市,区,全名,别名,性质,等级
浙江省,舟山市,定海区,浙江省舟山市人民医院,浙江省舟山市人民医院,公立/综合医院,三级甲等　　
浙江省,舟山市,定海区,舟山现代女子医院,舟山现代女子医院,其他/专科医院,未评级
浙江省,舟山市,定海区,舟山市骨伤医院,舟山市骨伤医院,公立/综合医院,一级甲等
浙江省,舟山市,定海区,舟山医院中医骨伤院区,舟山市中医骨伤联合医院，市中医院，洋岙医院,公立/综合医院,三级乙等
浙江省,舟山市,定海区,舟山现代妇科医院,舟山现代妇科医院,民营/专科医院,民营医院
浙江省,舟山市,定海区,定海广华医院,定海广华医院,民营/专科医院,民营医院
浙江省,舟山市,定海区,舟山市妇幼保健院,舟山市妇幼保健院,公立/专科医院,三级甲等　　
浙江省,舟山市,定海区,舟山医院,舟山医院,公立/综合医院,三级甲等　　
浙江省,舟山市,定海区,舟山市第三人民医院,舟山市妇幼保健医院,公立/综合医院,三级乙等
浙江省,舟山市,定海区,舟山新东方专科医院,舟山新东方专科医院,其他/专科医院,未知
浙江省,舟山市,定海区,定海区小沙镇卫生院,定海区小沙镇卫生院,其他/其他,未知
浙江省,舟山市,定海区,定海区城市社区卫生服务中心,定海区城市社区卫生服务中心,其他/其他,未知
浙江省,舟山市,定海区,定海区白泉镇中心卫生院,定海区白泉镇中心卫生院,其他/其他,未知
