省,市,区,全名,别名,性质,等级
浙江省,台州市,路桥区,台州五官科医院,台州五官科医院,民营/专科医院,一级甲等
浙江省,台州市,路桥区,台州市路桥区第一人民医院,台州市路桥区第一人民医院,公立/综合医院,未知
浙江省,台州市,路桥区,广济整形美容医院,广济整形美容医院,个体户/综合医院,一级甲等
浙江省,台州市,路桥区,台州市路桥广济整形外科医院,台州市路桥广济整形外科医院,个体户/综合医院,一级甲等
浙江省,台州市,路桥区,路桥城南外科医院,路桥城南医院,其他/其他,未评级
浙江省,台州市,路桥区,台州欧亚美容整形医院,台州欧亚整形医院,其他/专科医院,未评级
浙江省,台州市,路桥区,台州市博爱医院,路桥博爱医院,民营/综合医院,未知
浙江省,台州市,路桥区,台州医院路桥院区,台州医院路桥院区,公立/综合医院,二级甲等
浙江省,台州市,路桥区,台州市路桥区横街中心卫生院,台州市路桥区横街中心卫生院,公立/综合医院,未知
浙江省,台州市,路桥区,台州恩泽医疗中心(集团)路桥医院,路桥区第一人民医院/台州医院路桥院区,其他/综合医院,三级乙等
浙江省,台州市,路桥区,路桥区中医院新安分院,路桥南方妇产医院,其他/专科医院,未知
浙江省,台州市,路桥区,台州章氏骨伤医院・曙光医院,台州章氏骨伤医院・曙光医院,其他/综合医院,未知
浙江省,台州市,路桥区,路桥城南外科医院,台州城南医院,合资/专科医院,未评级
浙江省,台州市,路桥区,路南街道社区卫生服务中心,路南街道社区卫生服务中心,其他/综合医院,未知
浙江省,台州市,路桥区,桐屿街道社区卫生服务中心,桐屿街道社区卫生服务中心,其他/其他,未知
浙江省,台州市,路桥区,台州市路桥区新桥镇卫生院,台州市路桥区新桥镇卫生院,其他/其他,未知
浙江省,台州市,路桥区,台州市路桥区篷街镇卫生院,台州市路桥区篷街镇卫生院,其他/其他,未知
浙江省,台州市,路桥区,台州市路桥民营广济整型外科医院,台州市路桥民营广济整型外科医院,民营/综合医院,未知
浙江省,台州市,路桥区,路桥区峰江街道社区卫生服务中心,路桥区峰江街道社区卫生服务中心,其他/其他,未知
