省,市,区,全名,别名,性质,等级
浙江省,台州市,临海市,临海华山医院,临海杜桥华山医院,民营/综合医院,未知
浙江省,台州市,临海市,临海市骨伤科医院（民营）,临海市骨伤科医院,个体户/骨伤医院,未知
浙江省,台州市,临海市,临海市水云塘卫生院,临海市水云塘卫生服务中心,公立/综合医院,一级甲等
浙江省,台州市,临海市,临海现代医院,临海现代医院,民营/综合医院,民营医院
浙江省,台州市,临海市,临海市汛桥镇卫生院,临海市汛桥镇卫生院,其他/综合医院,未知
浙江省,台州市,临海市,临海市沿江镇卫生院,临海市沿江镇卫生院,其他/其他,未知
浙江省,台州市,临海市,临海市涌泉中心卫生院,临海市涌泉中心卫生院,其他/其他,未知
浙江省,台州市,临海市,临海市尤溪中心卫生院,临海市尤溪中心卫生院,公立/综合医院,未知
浙江省,台州市,临海市,临海市小芝中心卫生院,临海市小芝中心卫生院,其他/综合医院,未知
浙江省,台州市,临海市,临海市桃渚中心卫生院,临海市桃渚中心卫生院,其他/综合医院,未知
浙江省,台州市,临海市,临海市江南街道卫生院,临海市江南街道卫生院,其他/综合医院,未知
浙江省,台州市,临海市,临海市汇溪中心卫生院,临海市汇溪中心卫生院,其他/综合医院,未知
浙江省,台州市,临海市,临海市东塍中心卫生院,临海市东塍中心卫生院,其他/综合医院,未知
浙江省,台州市,临海市,临海市妇幼保健院,临海市妇幼保健院,公立/综合医院,未知
浙江省,台州市,临海市,临海市友好医院,临海市友好医院,民营/综合医院,未知
浙江省,台州市,临海市,临海市爱齿口腔医院,临海市爱齿口腔医院,民营/专科医院,未知
浙江省,台州市,临海市,临海市骨伤科医院,临海市骨伤科医院,公立/综合医院,未知
浙江省,台州市,临海市,临海市第二人民医院,临海市第二人民医院,公立/综合医院,未知
浙江省,台州市,临海市,临海市中医院,临海市中医院,公立/综合医院,二级甲等
浙江省,台州市,临海市,临海市第一人民医院,临海市第一人民医院,公立/综合医院,二级甲等
浙江省,台州市,临海市,浙江省台州医院,浙江省台州医院,公立/综合医院,三级甲等　　
