省,市,区,全名,别名,性质,等级
浙江省,台州市,温岭市,温岭市泽国镇卫生院,温岭市泽国镇社区卫生服务中心,公立/综合医院,一级乙等
浙江省,台州市,温岭市,温岭曙光医院,温岭曙光男科妇科医院,其他/综合医院,未评级
浙江省,台州市,温岭市,台州骨伤医院,台州骨伤医院,民营/专科医院,三级乙等
浙江省,台州市,温岭市,温岭和平消化专科医院,温岭和平消化专科医院,其他/专科医院,未知
浙江省,台州市,温岭市,温岭市疾病预防控制中心,温岭市疾病预防控制中心,其他/其他,未知
浙江省,台州市,温岭市,温岭市康复医院,温岭市康复医院,其他/专科医院,未知
浙江省,台州市,温岭市,台州骨伤科医院,台州骨伤科医院,公立/综合医院,一级甲等
浙江省,台州市,温岭市,台州市中西医结合医院,温岭市三院,公立/综合医院,二级甲等
浙江省,台州市,温岭市,温岭市东方医院,温岭市东方医院,公立/综合医院,未知
浙江省,台州市,温岭市,温岭市妇幼保健院,温岭市妇幼保健院,公立/综合医院,未知
浙江省,台州市,温岭市,温岭市第四人民医院,温岭市第四人民医院,公立/综合医院,未知
浙江省,台州市,温岭市,温岭市精神康复医院,温岭市精神康复医院,公立/综合医院,未知
浙江省,台州市,温岭市,温岭市骨伤科医院,温岭市骨伤科医院,公立/综合医院,未知
浙江省,台州市,温岭市,温岭腾华医院,温岭腾华医院,民营/综合医院,未知
浙江省,台州市,温岭市,温岭华信医院,温岭华信医院,民营/综合医院,未知
浙江省,台州市,温岭市,温岭石粘骨专科医院,温岭石粘骨专科医院,民营/综合医院,未知
浙江省,台州市,温岭市,温岭妇幼保健院,温岭市妇女儿童医院,其他/综合医院,未知
浙江省,台州市,温岭市,温岭东方医院,温岭东方医院,民营/综合医院,二级乙等
浙江省,台州市,温岭市,温岭市中医院,温岭市中医院,公立/综合医院,二级甲等
浙江省,台州市,温岭市,温岭市第三人民医院,温岭市第三人民医院,公立/综合医院,二级甲等
浙江省,台州市,温岭市,温岭市第二人民医院,温岭市第二人民医院,公立/综合医院,二级甲等
浙江省,台州市,温岭市,温岭市第一人民医院,温岭市第一人民医院,公立/综合医院,三级乙等
浙江省,台州市,温岭市,温岭市新河镇卫生院,温岭市新河镇卫生院,其他/其他,未知
浙江省,台州市,温岭市,温岭市城西街道卫生院,温岭市城西街道卫生院,其他/其他,未知
浙江省,台州市,温岭市,温岭市城南镇卫生院,城南镇社区卫生服务中心,其他/其他,未知
浙江省,台州市,温岭市,温岭市城东街道卫生院,城东街道社区卫生服务中心,其他/其他,未知
浙江省,台州市,温岭市,温岭市城北中心卫生院,温岭市城北中心卫生院,公立/其他,未知
浙江省,台州市,温岭市,温岭市滨海镇卫生院,滨海镇社区卫生服务中心,其他/综合医院,未知
