省,市,区,全名,别名,性质,等级
浙江省,台州市,天台县,浙江台州医院,浙江台州医院,公立/综合医院,三级甲等　　
浙江省,台州市,天台县,天台县国清疗养院,天台县国清疗养院,其他/其他,未知
浙江省,台州市,天台县,天台县洪畴镇卫生院,天台县洪畴镇卫生院,其他/综合医院,未知
浙江省,台州市,天台县,天台县三合镇卫生院,三合镇社区卫生服务中心,其他/综合医院,未知
浙江省,台州市,天台县,天台县新城骨伤科专科医院,天台县新城骨伤科专科医院,民营/专科医院,民营医院
浙江省,台州市,天台县,天台县第二人民医院,天台县第二人民医院,公立/综合医院,未知
浙江省,台州市,天台县,天台县城关医院,天台县城关医院,公立/综合医院,未知
浙江省,台州市,天台县,天台县苍山医院,天台县苍山医院,公立/综合医院,未知
浙江省,台州市,天台县,天台县平桥医院,天台县平桥医院,民营/综合医院,未知
浙江省,台州市,天台县,天台县妇幼保健站,天台县妇幼保健站,公立/综合医院,未知
浙江省,台州市,天台县,天台县中医院,天台县中医院,公立/综合医院,二级乙等
浙江省,台州市,天台县,天台县人民医院,天台县人民医院,公立/综合医院,二级甲等
浙江省,台州市,天台县,天台县泳溪乡卫生院,泳溪乡社区卫生服务中心,其他/综合医院,未知
浙江省,台州市,天台县,天台县坦头镇中心卫生院,天台县坦头镇中心卫生院,其他/综合医院,未知
浙江省,台州市,天台县,天台县始丰街道卫生院,天台县始丰街道卫生院,其他/综合医院,未知
浙江省,台州市,天台县,天台县石梁镇卫生院,石梁镇社区卫生服务中心,其他/综合医院,未知
浙江省,台州市,天台县,天台县三州乡卫生院,天台县三州乡卫生院,其他/其他,未知
浙江省,台州市,天台县,天台县南屏乡卫生院,南屏乡社区卫生服务中心,其他/其他,未知
浙江省,台州市,天台县,天台县龙溪乡卫生院,龙溪乡社区卫生服务中心,其他/其他,未知
浙江省,台州市,天台县,天台县雷峰乡卫生院,雷峰乡社区卫生服务中心,其他/其他,未知
浙江省,台州市,天台县,天台县妇幼保健所,天台县妇幼保健所,公立/综合医院,未知
浙江省,台州市,天台县,天台县福溪街道卫生院,福溪街道卫生院,其他/综合医院,未知
浙江省,台州市,天台县,天台县白鹤镇中心卫生院,天台县白鹤镇中心卫生院,其他/其他,未知
