省,市,区,全名,别名,性质,等级
浙江省,台州市,玉环县,玉环县红十字医院,玉环县红十字医院,公立/综合医院,一级甲等
浙江省,台州市,玉环县,玉环县妇幼保健所,玉环县妇幼保健所,公立/综合医院,未知
浙江省,台州市,玉环县,玉环县坎门医院,玉环县坎门医院,公立/综合医院,未知
浙江省,台州市,玉环县,玉环县中医院,玉环县中医院,公立/综合医院,未知
浙江省,台州市,玉环县,玉环县第二人民医院,玉环县第二人民医院,公立/综合医院,二级乙等
浙江省,台州市,玉环县,玉环县人民医院,玉环县人民医院,公立/综合医院,二级甲等
浙江省,台州市,玉环县,玉环县龙溪镇卫生院,玉环县龙溪镇卫生院,其他/其他,未知
浙江省,台州市,玉环县,玉环县鸡山乡卫生院,玉环县鸡山乡卫生院,其他/其他,未知
浙江省,台州市,玉环县,玉环县沙门镇卫生院,玉环县沙门镇卫生院,其他/其他,未知
浙江省,台州市,玉环县,玉环县坎门街道社区卫生服务中心,玉环县坎门街道社区卫生服务中心,其他/其他,未知
浙江省,台州市,玉环县,玉环县海山乡卫生院,玉环县海山乡卫生院,其他/其他,未知
浙江省,台州市,玉环县,玉环县干江镇卫生院,玉环县干江镇卫生院,其他/其他,未知
浙江省,台州市,玉环县,玉环县大麦屿街道社区卫生服务中心,玉环县大麦屿街道社区卫生服务中心,其他/其他,未知
浙江省,台州市,玉环县,玉环县楚门镇卫生院,玉环县楚门镇卫生院,其他/其他,未知
