省,市,区,全名,别名,性质,等级
浙江省,丽水市,莲都区,丽水市碧湖医院,丽水市碧湖医院,公立/综合医院,一级甲等
浙江省,丽水市,莲都区,丽水残联慈爱医院,丽水残联慈爱医院,个体户/综合医院,二级乙等
浙江省,丽水市,莲都区,丽水中医院,丽水市惠民医院,公立/综合医院,二级甲等
浙江省,丽水市,莲都区,丽水莲城医院,丽水莲城男科医院,民营/专科医院,民营医院
浙江省,丽水市,莲都区,丽水九龙医院,丽水九龙医院,其他/综合医院,未评级
浙江省,丽水市,莲都区,丽水市中医院,丽水市中医院,公立/综合医院,二级甲等
浙江省,丽水市,莲都区,丽水市人民医院,丽水市人民医院,公立/综合医院,三级甲等　　
浙江省,丽水市,莲都区,丽水市中心医院,丽水市中心医院,公立/综合医院,三级甲等　　
浙江省,丽水市,莲都区,丽水市中心医院温州医学院附属第五医院,丽水市中心医院温州医学院附属第五医院,公立/综合医院,一级甲等
浙江省,丽水市,莲都区,丽水万丰中西医结合医院,丽水万丰中西医结合医院,民营/综合医院,未知
浙江省,丽水市,莲都区,丽水市莲都区慈爱医院,丽水市莲都区慈爱医院,其他/综合医院,二级医院
浙江省,丽水市,莲都区,丽水张松平口腔诊所,丽水张松平口腔诊所,其他/门诊,未评级
浙江省,丽水市,莲都区,丽水张忠标诊所,丽水张忠标诊所,其他/门诊,未知
浙江省,丽水市,莲都区,丽水至灵中西医结合门诊部,丽水至灵中西医结合门诊部,其他/门诊,未知
浙江省,丽水市,莲都区,丽水庄莉医疗美容诊所,丽水庄莉医疗美容诊所,其他/门诊,未知
浙江省,丽水市,莲都区,丽水仁济康复医院,丽水仁济康复医院,其他/综合医院,未知
浙江省,丽水市,莲都区,丽水南山法朝骨伤医院,丽水南山法朝骨伤医院,其他/专科医院,未知
