省,市,区,全名,别名,性质,等级
安徽省,合肥市,瑶海区,合肥华夏白癜风医院,合肥白癜风医院,其他/其他,未评级
安徽省,合肥市,瑶海区,合肥人流医院,合肥现代妇科医院,民营/专科医院,民营医院
安徽省,合肥市,瑶海区,合肥中山医院不孕不育,合肥中山医院,公立/综合医院,未知
安徽省,合肥市,瑶海区,合肥同仁医院,合肥同仁康复医院,民营/综合医院,未知
安徽省,合肥市,瑶海区,合肥中山医院,合肥中山医院,公立/综合医院,一级甲等
安徽省,合肥市,瑶海区,合肥斑巢堂医院,合肥斑巢堂,民营/专科医院,未知
安徽省,合肥市,瑶海区,安徽新安中西医结合医院,安徽新安中西结合医院,其他/专科医院,未知
安徽省,合肥市,瑶海区,合肥中山医院,合肥市中山医院,民营/综合医院,未评级
安徽省,合肥市,瑶海区,合肥益康胃肠中医医院,益康胃肠中医医院,公立/专科医院,三级甲等　　
安徽省,合肥市,瑶海区,合肥瑞金肛肠医院,合肥瑞金肛肠医院,其他/专科医院,未评级
安徽省,合肥市,瑶海区,安徽中医药附属医院,安徽省外阴白斑公立医院、合肥外阴白斑专科医院,公立/专科医院,三级甲等　　
安徽省,合肥市,瑶海区,合肥华夏白癜风研究院,合肥华夏,公立/专科医院,未评级
安徽省,合肥市,瑶海区,安徽省中医药临床研究中心附属医院,安徽省中医药临床研究中心附属医院,公立/综合医院,二级甲等
安徽省,合肥市,瑶海区,合肥现代妇科医院,合肥现代妇科医院,民营/专科医院,未知
安徽省,合肥市,瑶海区,安徽长征微创外科医院,安徽长征医院,其他/综合医院,未知
安徽省,合肥市,瑶海区,合肥钢铁公司职工医院,合肥钢铁公司职工医院,公立/综合医院,二级甲等
安徽省,合肥市,瑶海区,安徽省立友谊医院,合肥铁路医院,公立/综合医院,二级甲等
安徽省,合肥市,瑶海区,合肥市瑶海区仁和中医院,合肥市瑶海区仁和中医院,公立/综合医院,未知
安徽省,合肥市,瑶海区,蚌埠铁路分局合肥铁路医院,蚌埠铁路分局合肥铁路医院,公立/综合医院,一级甲等
安徽省,合肥市,瑶海区,安徽合肥贝杰口腔医院,贝杰口腔,民营/专科医院,民营医院
安徽省,合肥市,瑶海区,安徽中医药大学神经病学研究所附属医院,安徽中医药大学神经病学研究所附属医院,其他/专科医院,未知
安徽省,合肥市,瑶海区,合肥军大医院,合肥军大皮肤病医院,民营/专科医院,未评级
安徽省,合肥市,瑶海区,合肥同仁关怀癫痫病医院,合肥癫痫病医院,民营/专科医院,民营医院
安徽省,合肥市,瑶海区,合肥九龙泌尿专科医院,合肥九龙男科医院,民营/专科医院,未知
安徽省,合肥市,瑶海区,中国人民解放军陆军军官学院医院,中国・安徽省癫痫病防治研究中心,公立/综合医院,二级甲等
安徽省,合肥市,瑶海区,合肥市瑶海区第一人民医院,合肥市瑶海区第一人民医院,公立/综合医院,一级甲等
