省,市,区,全名,别名,性质,等级
安徽省,合肥市,庐阳区,合肥华研白癜风医院,合肥白癜风医院,其他/专科医院,未知
安徽省,合肥市,庐阳区,庐江平安康复医院,平安康复医院,民营/综合医院,民营医院
安徽省,合肥市,庐阳区,安徽中医学院神经病学研究所附属医院,安徽中医学院神经病学研究所附属医院,公立/综合医院,一级甲等
安徽省,合肥市,庐阳区,铁道部第四工程局八公司第一医院,铁道部第四工程局八公司第一医院,公立/综合医院,一级甲等
安徽省,合肥市,庐阳区,合肥凤凰肿瘤医院,合肥凤凰肿瘤医院,公立/专科医院,二级甲等
安徽省,合肥市,庐阳区,中铁四局第四医院,合肥中铁四局精神病医院,公立/综合医院,二级乙等
安徽省,合肥市,庐阳区,合肥时代神经内科研究院,合肥精神病医院,其他/专科医院,未评级
安徽省,合肥市,庐阳区,合肥现代妇产医院,现代妇产医院,民营/专科医院,民营医院
安徽省,合肥市,庐阳区,合肥精神病医院,合肥精神卫生中心,其他/专科医院,未评级
安徽省,合肥市,庐阳区,合肥肛泰肛肠医院,合肥肛泰医院,民营/专科医院,二级甲等
安徽省,合肥市,庐阳区,合肥和安医院,合肥和安医院,其他/专科医院,未知
安徽省,合肥市,庐阳区,合肥中肾医院,合肥中肾医院,其他/专科医院,未知
安徽省,合肥市,庐阳区,安徽中医学院第二附属医院安徽中医学院附属针灸医院,安徽省针灸医院,公立/专科医院,三级甲等　　
安徽省,合肥市,庐阳区,合肥市第一人民医院,合肥红十字会博恩医院,公立/综合医院,三级甲等　　
安徽省,合肥市,庐阳区,安徽省立医院,安徽省立医院,公立/综合医院,三级甲等　　
安徽省,合肥市,庐阳区,铁道部第四工程局新线铁路运输工程处医院,铁道部第四工程局新线铁路运输工程处医院,公立/综合医院,一级甲等
安徽省,合肥市,庐阳区,合肥金谷医院,合肥金谷康复医院,民营/专科医院,未知
安徽省,合肥市,庐阳区,金谷康复医院,金谷医院,民营/专科医院,民营医院
安徽省,合肥市,庐阳区,合肥远大男科医院,合肥远大医院,其他/专科医院,未知
安徽省,合肥市,庐阳区,合肥新民医院,合肥新民医院,其他/综合医院,未知
安徽省,合肥市,庐阳区,合肥市城建医院,合肥市公共交通总公司职工卫生所,公立/综合医院,二级医院
安徽省,合肥市,庐阳区,安徽中医药大学第二附属医院,安徽省针灸医院,公立/专科医院,三级甲等　　
安徽省,合肥市,庐阳区,安徽中医药大学第一附属医院,安徽省中医院,公立/综合医院,三级甲等　　
安徽省,合肥市,庐阳区,安徽省妇幼保健院,安徽省妇幼保健院,公立/综合医院,三级甲等　　
安徽省,合肥市,庐阳区,安徽省第二人民医院,安徽省第二人民医院,公立/综合医院,特级医院
安徽省,合肥市,庐阳区,安徽安琪儿妇产医院,安徽安琪儿妇产医院,合资/专科医院,未知
