省,市,区,全名,别名,性质,等级
安徽省,合肥市,包河区,合肥北大白癜风医院,合肥北大白癜风医院,其他/综合医院,未评级
安徽省,合肥市,包河区,安徽医科大学第四附属医院,城建医院,公立/综合医院,二级甲等
安徽省,合肥市,包河区,中铁四局集团中心医院,中铁四局中心医院,公立/综合医院,二级甲等
安徽省,合肥市,包河区,安徽天伦不孕不育专科医院,安徽天伦医院,合资/专科医院,未知
安徽省,合肥市,包河区,中国人民解放军安徽省军区医院,中国人民解放军安徽省军区医院,公立/综合医院,一级甲等
安徽省,合肥市,包河区,合肥丽人妇科医院,合肥丽人医疗整形,民营/专科医院,民营医院
安徽省,合肥市,包河区,合肥壹加壹整形美容医院,合肥壹加壹美容医院,民营/专科医院,三级乙等
安徽省,合肥市,包河区,合肥仁爱中医医院,合肥仁爱中医儿科研究院,其他/综合医院,未评级
安徽省,合肥市,包河区,合肥包河名流门诊部,名流体检,民营/门诊,未评级
安徽省,合肥市,包河区,爱春医疗美容门诊部,爱春医疗美容门诊部,民营/门诊,未评级
安徽省,合肥市,包河区,合肥阳光消化病医院,合肥消化病医院,公立/专科医院,二级甲等
安徽省,合肥市,包河区,合肥长庚医院,合肥长庚妇产医院,民营/综合医院,民营医院
安徽省,合肥市,包河区,中国科学技术大学医院,中国科学技术大学医院,公立/综合医院,一级甲等
安徽省,合肥市,包河区,合肥苗老祖专业祛痘,合肥专业祛痘,合资/门诊,民营医院
安徽省,合肥市,包河区,安徽省儿童医院,安徽省儿童医院,公立/综合医院,三级甲等　　
安徽省,合肥市,包河区,合肥市红十字会美容医院,合肥市红十字会美容医院,个体户/综合医院,一级甲等
安徽省,合肥市,包河区,合肥市第二人民医院,安徽医科大学第四临床学院,公立/综合医院,三级甲等　　
安徽省,合肥市,包河区,合肥市第三人民医院,合肥市第三人民医院,公立/综合医院,二级甲等
安徽省,合肥市,包河区,安徽省建医院,安徽省建医院,公立/综合医院,二级甲等
安徽省,合肥市,包河区,安徽省水利厅职工医院,安徽省水利厅职工医院,公立/综合医院,二级甲等
安徽省,合肥市,包河区,安徽医学高等专科学校附属医院,安徽医学高等专科学校附属医院,合资/综合医院,二级甲等
安徽省,合肥市,包河区,合肥市友好医院,合肥友好医院,民营/综合医院,二级甲等
安徽省,合肥市,包河区,合肥市红十字会眼科医院,合肥新视界眼科医院,民营/综合医院,未知
安徽省,合肥市,包河区,合肥铁路医院,合肥铁路医院,公立/综合医院,一级甲等
