省,市,区,全名,别名,性质,等级
安徽省,合肥市,肥东县,肥东县中医院,肥东县中医院,公立/综合医院,未知
安徽省,合肥市,肥东县,肥东县人民医院,肥东县人民医院,公立/综合医院,未知
安徽省,合肥市,肥东县,肥东县白龙镇青龙卫生院,肥东县白龙镇青龙卫生院,其他/综合医院,未知
安徽省,合肥市,肥东县,肥东县白龙镇中心卫生院,肥东县白龙镇中心卫生院,其他/综合医院,未知
安徽省,合肥市,肥东县,肥东县响导乡卫生院,肥东县响导乡卫生院,其他/综合医院,未知
安徽省,合肥市,肥东县,肥东县杨店乡卫生院,肥东县杨店乡卫生院,其他/综合医院,未知
安徽省,合肥市,肥东县,肥东县杨店乡黄栗卫生院,肥东县杨店乡黄栗卫生院,其他/综合医院,未知
安徽省,合肥市,肥东县,肥东县八斗镇花张卫生院,肥东县八斗镇花张卫生院,其他/综合医院,未知
安徽省,合肥市,肥东县,肥东县八斗镇中心卫生院,肥东县八斗镇中心卫生院,其他/综合医院,未知
安徽省,合肥市,肥东县,肥东县马湖乡卫生院,肥东县马湖乡卫生院,其他/综合医院,未知
安徽省,合肥市,肥东县,肥东县陈集乡卫生院,肥东县陈集乡卫生院,其他/综合医院,未知
安徽省,合肥市,肥东县,肥东县古城镇杨塘卫生院,肥东县古城镇杨塘卫生院,其他/综合医院,未知
安徽省,合肥市,肥东县,肥东县古城镇中心卫生院,肥东县古城镇中心卫生院,其他/综合医院,未知
安徽省,合肥市,肥东县,肥东县张集乡卫生院,肥东县张集乡卫生院,其他/综合医院,未知
安徽省,合肥市,肥东县,肥东县梁园镇路口卫生院,肥东县梁园镇路口卫生院,其他/综合医院,未知
安徽省,合肥市,肥东县,肥东县梁园镇护城卫生院,肥东县梁园镇护城卫生院,其他/综合医院,未知
安徽省,合肥市,肥东县,肥东县梁园镇中心卫生院,肥东县梁园镇中心卫生院,其他/综合医院,未知
安徽省,合肥市,肥东县,肥东县包公镇高亮卫生院,肥东县包公镇高亮卫生院,其他/综合医院,未知
安徽省,合肥市,肥东县,肥东县包公镇卫生院,肥东县包公镇卫生院,其他/综合医院,未知
安徽省,合肥市,肥东县,肥东县石塘镇王铁卫生院,肥东县石塘镇王铁卫生院,其他/综合医院,未知
安徽省,合肥市,肥东县,肥东县石塘镇龙城卫生院,肥东县石塘镇龙城卫生院,其他/综合医院,未知
安徽省,合肥市,肥东县,肥东县石塘镇中心卫生院,肥东县石塘镇中心卫生院,其他/综合医院,未知
安徽省,合肥市,肥东县,肥东县桥头集镇卫生院,肥东县桥头集镇卫生院,其他/综合医院,未知
安徽省,合肥市,肥东县,肥东县长临河镇卫生院,肥东县长临河镇卫生院,其他/综合医院,未知
安徽省,合肥市,肥东县,肥东县长临河镇六家畈卫生院,肥东县长临河镇六家畈卫生院,其他/综合医院,未知
安徽省,合肥市,肥东县,肥东县撮镇镇龙塘卫生院,肥东县撮镇镇龙塘卫生院,其他/综合医院,未知
安徽省,合肥市,肥东县,肥东县撮镇镇长乐卫生院,肥东县撮镇镇长乐卫生院,其他/综合医院,未知
安徽省,合肥市,肥东县,肥东县撮镇镇中心卫生院,肥东县撮镇镇中心卫生院,其他/综合医院,未知
安徽省,合肥市,肥东县,肥东县牌坊回族满族乡卫生院,肥东县牌坊回族满族乡卫生院,公立/综合医院,未知
安徽省,合肥市,肥东县,肥东县众兴乡卫生院,肥东县众兴乡卫生院,其他/其他,未知
安徽省,合肥市,肥东县,肥东县计划生育服务站,肥东县计划生育服务站,公立/其他,未知
安徽省,合肥市,肥东县,肥东县店埠镇西山驿卫生院,肥东县店埠镇西山驿卫生院,公立/综合医院,未知
安徽省,合肥市,肥东县,肥东县店埠镇中心卫生院,肥东县店埠镇中心卫生院,公立/综合医院,未知
安徽省,合肥市,肥东县,肥东县妇幼保健院,肥东县妇幼保健院,公立/其他,未知
安徽省,合肥市,肥东县,肥东县第三人民医院,肥东县第三人民医院,公立/综合医院,未知
安徽省,合肥市,肥东县,肥东新安医院,肥东新安医院,其他/综合医院,一级医院
安徽省,合肥市,肥东县,肥东东城医院,肥东东城医院,其他/综合医院,未知
安徽省,合肥市,肥东县,肥东安贞医院,肥东安贞医院,其他/综合医院,未知
