省,市,区,全名,别名,性质,等级
安徽省,淮南市,田家庵区,淮南博大泌尿专科医院,淮南博大男科医院,合资/专科医院,未知
安徽省,淮南市,田家庵区,淮南职工大学附属医院,淮南职工大学附属医院,外资/综合医院,未知
安徽省,淮南市,田家庵区,淮南市第六人民医院,淮南市妇幼保健院,公立/综合医院,未知
安徽省,淮南市,田家庵区,淮南市纺织厂职工医院,淮南市纺织厂职工医院,公立/综合医院,一级甲等
安徽省,淮南市,田家庵区,中国化学工程第三建筑公司职工医院,中国化学工程第三建筑公司职工医院,公立/综合医院,一级甲等
安徽省,淮南市,田家庵区,淮南朝阳医院,淮南朝阳医院,民营/综合医院,未知
安徽省,淮南市,田家庵区,淮南矿务局职业病防治院,淮南矿务局职业病防治院,公立/综合医院,二级甲等
安徽省,淮南市,田家庵区,淮南市第一人民医院,淮南市第一人民医院,公立/综合医院,三级乙等
安徽省,淮南市,田家庵区,淮南市中医院,淮南市中医院,公立/综合医院,二级甲等
安徽省,淮南市,田家庵区,淮南市新康医院,淮南市新康医院,公立/综合医院,二级甲等
安徽省,淮南市,田家庵区,淮南第三矿工医院,淮南第三矿工医院,公立/综合医院,二级甲等
安徽省,淮南市,田家庵区,淮南市丽人医院,淮南市丽人医院,其他/专科医院,未知
安徽省,淮南市,田家庵区,安徽理工大学附属医院淮南东方医院集团总医院,安徽理工大学附属医院淮南东方医院集团总医院,公立/综合医院,一级甲等
安徽省,淮南市,田家庵区,淮南市安成镇人民医院,淮南市安成镇人民医院,公立/综合医院,一级甲等
安徽省,淮南市,田家庵区,中国化学工程第三建公司职工医院,中国化学工程第三建公司职工医院,公立/综合医院,一级甲等
安徽省,淮南市,田家庵区,淮南矿业集团职业病防治院,淮南矿业集团职业病防治院,公立/综合医院,一级甲等
安徽省,淮南市,田家庵区,淮南新康医院,淮南新康医院,公立/综合医院,二级甲等
安徽省,淮南市,田家庵区,淮南济民医院,淮南济民医院,其他/综合医院,未评级
安徽省,淮南市,田家庵区,淮南博士医院,淮南博士医院,民营/专科医院,民营医院
安徽省,淮南市,田家庵区,淮南现代医院,淮南现代中医研究院,民营/综合医院,一级甲等
安徽省,淮南市,田家庵区,淮南市和睦医院,淮南和睦妇产医院,公立/专科医院,二级乙等
安徽省,淮南市,田家庵区,淮南建国泌尿专科医院,淮南建国男科医院,民营/专科医院,民营医院
