省,市,区,全名,别名,性质,等级
安徽省,马鞍山市,雨山区,马鞍山市金陵医院,马鞍山市金陵男科医院,民营/综合医院,民营医院
安徽省,马鞍山市,雨山区,马鞍山微创医院,十七冶医院微创分院,民营/综合医院,未知
安徽省,马鞍山市,雨山区,马鞍山福华医疗美容医院,福华整形医院,民营/专科医院,民营医院
安徽省,马鞍山市,雨山区,马鞍山华康皮肤病防治所,马鞍山华康皮肤病防治所,民营/其他,民营医院
安徽省,马鞍山市,雨山区,马鞍山市雨山区人民医院,马鞍山市雨山区人民医院,公立/综合医院,未知
安徽省,马鞍山市,雨山区,马鞍山市精神康复医院,马鞍山市精神康复医院,公立/综合医院,一级甲等
安徽省,马鞍山市,雨山区,马鞍山济世医院,马鞍山福华整形医院,民营/专科医院,未评级
安徽省,马鞍山市,雨山区,康豪泌尿专科医院,马鞍山康豪男科医院,其他/专科医院,未知
安徽省,马鞍山市,雨山区,马鞍山市向山硫铁矿职工医院,马鞍山市向山硫铁矿职工医院,公立/综合医院,一级甲等
安徽省,马鞍山市,雨山区,马鞍山市向山区人民医院,马鞍山市向山区人民医院,公立/综合医院,一级甲等
安徽省,马鞍山市,雨山区,冶金部第十七冶金建筑公司职工医院,冶金部第十七冶金建筑公司职工医院,公立/综合医院,一级甲等
安徽省,马鞍山市,雨山区,马鞍山十七冶医院,马鞍山十七冶医院,公立/综合医院,二级甲等
安徽省,马鞍山市,雨山区,和县新华妇科医院,和县妇科医院,民营/专科医院,民营医院
安徽省,马鞍山市,雨山区,马鞍山市传染病医院,马鞍山市第四人民医院,公立/专科医院,未知
