省,市,区,全名,别名,性质,等级
安徽省,马鞍山市,当涂县,中国人民解放军第86医院,解放军第八六医院,公立/综合医院,三级乙等
安徽省,马鞍山市,当涂县,当涂县人民医院,当涂县人民医院,公立/综合医院,二级甲等
安徽省,马鞍山市,当涂县,当涂县中医院,当涂县中医院,公立/综合医院,未知
安徽省,马鞍山市,当涂县,当涂县博望镇友林村卫生室,当涂县博望镇友林村卫生室,公立/综合医院,未知
安徽省,马鞍山市,当涂县,当涂县博望镇四联村卫生室,当涂县博望镇四联村卫生室,公立/综合医院,未知
安徽省,马鞍山市,当涂县,当涂县博望镇石家村卫生室,当涂县博望镇石家村卫生室,公立/综合医院,未知
安徽省,马鞍山市,当涂县,当涂县博望镇和平村卫生室,当涂县博望镇和平村卫生室,公立/综合医院,未知
安徽省,马鞍山市,当涂县,当涂县博望镇长流村卫生室,当涂县博望镇长流村卫生室,公立/综合医院,未知
安徽省,马鞍山市,当涂县,当涂县新市镇刘山村卫生室,当涂县新市镇刘山村卫生室,公立/综合医院,未知
安徽省,马鞍山市,当涂县,当涂县江心乡联合村卫生室,当涂县江心乡联合村卫生室,公立/综合医院,未知
安徽省,马鞍山市,当涂县,当涂县江心乡黄洲村卫生室,当涂县江心乡黄洲村卫生室,公立/综合医院,未知
安徽省,马鞍山市,当涂县,当涂县江心乡宫锦村卫生室,当涂县江心乡宫锦村卫生室,公立/综合医院,未知
安徽省,马鞍山市,当涂县,当涂县江心乡三联村卫生室,当涂县江心乡三联村卫生室,公立/综合医院,未知
安徽省,马鞍山市,当涂县,当涂县江心乡新锦村卫生室,当涂县江心乡新锦村卫生室,公立/综合医院,未知
安徽省,马鞍山市,当涂县,当涂县江心乡彭太村卫生室,当涂县江心乡彭太村卫生室,公立/综合医院,未知
安徽省,马鞍山市,当涂县,当涂县年陡乡卫生院查湾分院,当涂县年陡乡卫生院查湾分院,公立/综合医院,未知
安徽省,马鞍山市,当涂县,当涂县大陇乡卫生院,当涂县大陇乡卫生院,公立/综合医院,未知
安徽省,马鞍山市,当涂县,当涂县塘南镇新卫村卫生室,当涂县塘南镇新卫村卫生室,公立/综合医院,未知
安徽省,马鞍山市,当涂县,当涂县丹阳镇龙山村卫生室,当涂县丹阳镇龙山村卫生室,公立/综合医院,未知
安徽省,马鞍山市,当涂县,当涂县丹阳镇黄塘村卫生室,当涂县丹阳镇黄塘村卫生室,公立/综合医院,未知
安徽省,马鞍山市,当涂县,当涂县丹阳镇薛津村卫生室,当涂县丹阳镇薛津村卫生室,公立/综合医院,未知
安徽省,马鞍山市,当涂县,当涂县丹阳镇董塘村卫生室,当涂县丹阳镇董塘村卫生室,公立/综合医院,未知
安徽省,马鞍山市,当涂县,当涂县丹阳镇山河村卫生室,当涂县丹阳镇山河村卫生室,公立/综合医院,未知
安徽省,马鞍山市,当涂县,当涂县丹阳镇团结村卫生室,当涂县丹阳镇团结村卫生室,公立/综合医院,未知
安徽省,马鞍山市,当涂县,博望区新市民生医院,博望区新市民生医院,其他/综合医院,未知
安徽省,马鞍山市,当涂县,博望区丹阳龙泉医院,博望区丹阳龙泉医院,其他/综合医院,未知
安徽省,马鞍山市,当涂县,博望区丹阳镇中心卫生院,博望区丹阳镇中心卫生院,公立/综合医院,未知
安徽省,马鞍山市,当涂县,当涂县大陇乡孙赵村卫生室,当涂县大陇乡孙赵村卫生室,公立/综合医院,未知
安徽省,马鞍山市,当涂县,博望区新市镇新禄村卫生室,博望区新市镇新禄村卫生室,公立/综合医院,未知
安徽省,马鞍山市,当涂县,中国人民解放军第八六医院,中国人民解放军第八六医院,公立/综合医院,一级甲等
安徽省,马鞍山市,当涂县,马钢姑山铁矿职工医院,马钢姑山铁矿职工医院,公立/综合医院,一级甲等
