省,市,区,全名,别名,性质,等级
安徽省,淮北市,濉溪县,濉溪县红十字会医院,濉溪县红十字会医院,公立/综合医院,未知
安徽省,淮北市,濉溪县,濉溪县中医院,濉溪县中医院,公立/综合医院,未知
安徽省,淮北市,濉溪县,濉溪县医院,濉溪县医院,公立/综合医院,二级甲等
安徽省,淮北市,濉溪县,皖北矿务局第二职工医院,皖北矿务局第二职工医院,公立/综合医院,一级甲等
安徽省,淮北市,濉溪县,淮北矿业(集团)公司矿工总医院,淮北矿工总医院,公立/综合医院,三级甲等　　
安徽省,淮北市,濉溪县,淮北第四人民医院,淮北矿业集团临涣矿医院,公立/综合医院,一级甲等
安徽省,淮北市,濉溪县,皖淮北矿业（集团）公司刘桥一矿职工医院,皖淮北矿业（集团）公司刘桥一矿职工医院,公立/综合医院,一级甲等
安徽省,淮北市,濉溪县,安徽省淮北卫生学校附属医院,安徽省淮北卫生学校附属医院,公立/综合医院,一级甲等
安徽省,淮北市,濉溪县,皖北矿务局百善煤矿职工医院,皖北矿务局百善煤矿职工医院,公立/综合医院,一级甲等
安徽省,淮北市,濉溪县,濉溪县水利医院,濉溪县水利医院,公立/综合医院,一级甲等
安徽省,淮北市,濉溪县,淮北市传染病医院,淮北市第三人民医院,公立/综合医院,二级乙等
安徽省,淮北市,濉溪县,皖淮北矿业（集团）公司百善煤矿职工医院,皖淮北矿业（集团）公司百善煤矿职工医院,公立/综合医院,一级甲等
