省,市,区,全名,别名,性质,等级
安徽省,安庆市,枞阳县,枞阳县红十字会医院,枞阳县红十字会医院,公立/综合医院,未知
安徽省,安庆市,枞阳县,枞阳县妇幼保健站,枞阳县妇幼保健站,公立/综合医院,未知
安徽省,安庆市,枞阳县,枞阳县中医院,枞阳县中医院,公立/综合医院,未知
安徽省,安庆市,枞阳县,枞阳县第二人民医院,枞阳县第二人民医院,公立/综合医院,未知
安徽省,安庆市,枞阳县,枞阳县人民医院,枞阳县人民医院,公立/综合医院,二级甲等
安徽省,安庆市,枞阳县,枞阳县会宫乡毕山村卫生室,枞阳县会宫乡毕山村卫生室,其他/专科医院,未知
安徽省,安庆市,枞阳县,枞阳县会宫乡安凤村卫生室,枞阳县会宫乡安凤村卫生室,其他/专科医院,未知
安徽省,安庆市,枞阳县,枞阳县会宫乡庆华村卫生室,枞阳县会宫乡庆华村卫生室,其他/专科医院,未知
安徽省,安庆市,枞阳县,枞阳县会宫乡拔茅村卫生室,枞阳县会宫乡拔茅村卫生室,其他/专科医院,未知
安徽省,安庆市,枞阳县,枞阳县金社乡向荣村卫生室,枞阳县金社乡向荣村卫生室,其他/专科医院,未知
安徽省,安庆市,枞阳县,枞阳县金社乡金山村卫生室,枞阳县金社乡金山村卫生室,其他/专科医院,未知
安徽省,安庆市,枞阳县,枞阳县铁铜乡中南村卫生室,枞阳县铁铜乡中南村卫生室,其他/专科医院,未知
安徽省,安庆市,枞阳县,枞阳县义津镇姚王村卫生室,枞阳县义津镇姚王村卫生室,其他/专科医院,未知
安徽省,安庆市,枞阳县,枞阳县义津镇塔桥村卫生室,枞阳县义津镇塔桥村卫生室,其他/专科医院,未知
安徽省,安庆市,枞阳县,枞阳县义津镇北圣村卫生室,枞阳县义津镇北圣村卫生室,其他/专科医院,未知
安徽省,安庆市,枞阳县,枞阳县义津镇增丰村卫生室,枞阳县义津镇增丰村卫生室,其他/专科医院,未知
安徽省,安庆市,枞阳县,枞阳县义津镇义津村卫生室,枞阳县义津镇义津村卫生室,其他/专科医院,未知
安徽省,安庆市,枞阳县,枞阳县钱桥镇高丰村卫生室,枞阳县钱桥镇高丰村卫生室,其他/专科医院,未知
安徽省,安庆市,枞阳县,枞阳县钱桥镇石马村卫生室,枞阳县钱桥镇石马村卫生室,其他/专科医院,未知
安徽省,安庆市,枞阳县,枞阳县钱桥镇新埠村卫生室,枞阳县钱桥镇新埠村卫生室,其他/专科医院,未知
安徽省,安庆市,枞阳县,枞阳县钱桥镇兴旺村卫生室,枞阳县钱桥镇兴旺村卫生室,其他/专科医院,未知
安徽省,安庆市,枞阳县,枞阳县钱桥镇朝阳村卫生室,枞阳县钱桥镇朝阳村卫生室,其他/专科医院,未知
安徽省,安庆市,枞阳县,枞阳县钱桥镇邹姚村卫生室,枞阳县钱桥镇邹姚村卫生室,其他/专科医院,未知
安徽省,安庆市,枞阳县,枞阳县钱桥镇钱桥村卫生室,枞阳县钱桥镇钱桥村卫生室,其他/专科医院,未知
安徽省,安庆市,枞阳县,枞阳县横埠镇龙山村卫生室,枞阳县横埠镇龙山村卫生室,其他/专科医院,未知
安徽省,安庆市,枞阳县,枞阳县横埠镇利华村卫生室,枞阳县横埠镇利华村卫生室,其他/专科医院,未知
安徽省,安庆市,枞阳县,枞阳县横埠镇横山村卫生室,枞阳县横埠镇横山村卫生室,其他/专科医院,未知
安徽省,安庆市,枞阳县,枞阳县横埠镇少丰村卫生室,枞阳县横埠镇少丰村卫生室,其他/专科医院,未知
安徽省,安庆市,枞阳县,枞阳县横埠镇联丰村卫生室,枞阳县横埠镇联丰村卫生室,其他/专科医院,未知
安徽省,安庆市,枞阳县,枞阳县横埠镇新华村卫生室,枞阳县横埠镇新华村卫生室,其他/专科医院,未知
安徽省,安庆市,枞阳县,枞阳县横埠镇孙岗村卫生室,枞阳县横埠镇孙岗村卫生室,其他/专科医院,未知
安徽省,安庆市,枞阳县,枞阳县枞阳华康医院,枞阳县枞阳华康医院,其他/综合医院,未知
安徽省,安庆市,枞阳县,枞阳县陈瑶湖镇水圩社区卫生服务中心,枞阳县陈瑶湖镇水圩社区卫生服务中心,公立/综合医院,未知
安徽省,安庆市,枞阳县,枞阳县青山街社区卫生服务站,枞阳县青山街社区卫生服务站,公立/综合医院,未知
安徽省,安庆市,枞阳县,枞阳县枞阳博爱医院,枞阳县枞阳博爱医院,民营/综合医院,未知
安徽省,安庆市,枞阳县,枞阳县汤沟镇桂坝村卫生室,枞阳县汤沟镇桂坝村卫生室,其他/专科医院,未知
安徽省,安庆市,枞阳县,枞阳县汤沟镇先进村卫生室,枞阳县汤沟镇先进村卫生室,其他/专科医院,未知
安徽省,安庆市,枞阳县,枞阳县义津镇街道社区卫生服务站,枞阳县义津镇街道社区卫生服务站,其他/其他,未知
