省,市,区,全名,别名,性质,等级
安徽省,黄山市,歙县,安徽黄山市歙县上海练江牧场职工医院,安徽黄山市歙县上海练江牧场职工医院,公立/综合医院,一级甲等
安徽省,黄山市,歙县,歙县妇幼保健所,歙县妇幼保健所,公立/综合医院,未知
安徽省,黄山市,歙县,歙县第二人民医院,歙县第二人民医院,公立/综合医院,未知
安徽省,黄山市,歙县,歙县城关医院,歙县城关医院,公立/综合医院,未知
安徽省,黄山市,歙县,歙县中医院,歙县中医院,公立/综合医院,未知
安徽省,黄山市,歙县,歙县人民医院,歙县人民医院,公立/综合医院,未知
安徽省,黄山市,歙县,歙县昌仁医院,歙县昌仁医院,民营/综合医院,二级甲等
安徽省,黄山市,歙县,歙县森村乡黄备村卫生室,歙县森村乡黄备村卫生室,其他/其他,未知
安徽省,黄山市,歙县,歙县昌溪乡万二村卫生室,歙县昌溪乡万二村卫生室,其他/其他,未知
安徽省,黄山市,歙县,歙县雄村乡柘岱村卫生室,歙县雄村乡柘岱村卫生室,其他/其他,未知
安徽省,黄山市,歙县,歙县雄村乡卫生院,歙县雄村乡卫生院,公立/综合医院,未知
安徽省,黄山市,歙县,歙县坑口乡卫生院,歙县坑口乡卫生院,公立/综合医院,未知
安徽省,黄山市,歙县,歙县街口镇前山村卫生室,歙县街口镇前山村卫生室,其他/其他,未知
安徽省,黄山市,歙县,歙县霞坑镇鸿飞村卫生室,歙县霞坑镇鸿飞村卫生室,其他/其他,未知
安徽省,黄山市,歙县,歙县霞坑镇洪琴村卫生室,歙县霞坑镇洪琴村卫生室,其他/其他,未知
安徽省,黄山市,歙县,歙县杞梓里镇苏村分院,歙县杞梓里镇苏村分院,公立/综合医院,未知
安徽省,黄山市,歙县,歙县溪头镇竦坑村卫生室,歙县溪头镇竦坑村卫生室,其他/其他,未知
安徽省,黄山市,歙县,歙县郑村镇棠樾村卫生室,歙县郑村镇棠樾村卫生室,其他/其他,未知
安徽省,黄山市,歙县,歙县郑村镇向杲村卫生室,歙县郑村镇向杲村卫生室,其他/其他,未知
安徽省,黄山市,歙县,,,,
