省,市,区,全名,别名,性质,等级
安徽省,黄山市,祁门县,祁门县祁山镇祁峰村卫生室,祁门县祁山镇祁峰村卫生室,其他/综合医院,未知
安徽省,黄山市,祁门县,祁门县塔坊乡阳光村卫生室,祁门县塔坊乡阳光村卫生室,其他/综合医院,未知
安徽省,黄山市,祁门县,祁门县塔坊乡群星村卫生室,祁门县塔坊乡群星村卫生室,其他/综合医院,未知
安徽省,黄山市,祁门县,祁门县塔坊乡柯岭村卫生室,祁门县塔坊乡柯岭村卫生室,其他/综合医院,未知
安徽省,黄山市,祁门县,祁门县祁红乡驰名村卫生室,祁门县祁红乡驰名村卫生室,其他/综合医院,未知
安徽省,黄山市,祁门县,祁门县小路口镇石谷村卫生室,祁门县小路口镇石谷村卫生室,其他/综合医院,未知
安徽省,黄山市,祁门县,祁门县小路口镇胜利村卫生室,祁门县小路口镇胜利村卫生室,其他/综合医院,未知
安徽省,黄山市,祁门县,祁门县大坦乡枫林村卫生室,祁门县大坦乡枫林村卫生室,其他/综合医院,未知
安徽省,黄山市,祁门县,祁门县祁山镇春明村卫生室,祁门县祁山镇春明村卫生室,其他/综合医院,未知
安徽省,黄山市,祁门县,祁门县祁山镇榨坞村卫生室,祁门县祁山镇榨坞村卫生室,其他/综合医院,未知
安徽省,黄山市,祁门县,祁门县历口镇深都村卫生室,祁门县历口镇深都村卫生室,其他/综合医院,未知
安徽省,黄山市,祁门县,祁门县历口镇光辉村卫生室,祁门县历口镇光辉村卫生室,其他/综合医院,未知
安徽省,黄山市,祁门县,祁门县历口镇武陵村卫生室,祁门县历口镇武陵村卫生室,其他/综合医院,未知
安徽省,黄山市,祁门县,祁门县历口镇环砂村卫生室,祁门县历口镇环砂村卫生室,其他/综合医院,未知
安徽省,黄山市,祁门县,祁门县历口镇湘东村卫生室,祁门县历口镇湘东村卫生室,其他/综合医院,未知
安徽省,黄山市,祁门县,祁门县历口镇历溪村卫生室,祁门县历口镇历溪村卫生室,其他/综合医院,未知
安徽省,黄山市,祁门县,祁门县历口镇彭龙村卫生室,祁门县历口镇彭龙村卫生室,其他/综合医院,未知
安徽省,黄山市,祁门县,祁门县历口镇中心卫生院,祁门县历口镇中心卫生院,公立/综合医院,未知
安徽省,黄山市,祁门县,祁门县箬坑乡流源村卫生室,祁门县箬坑乡流源村卫生室,其他/综合医院,未知
安徽省,黄山市,祁门县,祁门县闪里镇七一村卫生室,祁门县闪里镇七一村卫生室,其他/综合医院,未知
安徽省,黄山市,祁门县,祁门县闪里镇坑口村卫生室,祁门县闪里镇坑口村卫生室,其他/综合医院,未知
安徽省,黄山市,祁门县,祁门县闪里镇叶家村卫生室,祁门县闪里镇叶家村卫生室,其他/综合医院,未知
安徽省,黄山市,祁门县,祁门县古溪乡黄龙村卫生室,祁门县古溪乡黄龙村卫生室,其他/综合医院,未知
安徽省,黄山市,祁门县,祁门县渚口乡清溪村卫生室,祁门县渚口乡清溪村卫生室,其他/综合医院,未知
安徽省,黄山市,祁门县,祁门县历口镇叶村村卫生室,祁门县历口镇叶村村卫生室,其他/综合医院,未知
安徽省,黄山市,祁门县,祁门县安凌镇赛丰村卫生室,祁门县安凌镇赛丰村卫生室,其他/综合医院,未知
安徽省,黄山市,祁门县,祁门县安凌镇菖蒲村卫生室,祁门县安凌镇菖蒲村卫生室,其他/综合医院,未知
安徽省,黄山市,祁门县,祁门县中医院,祁门县中医院,公立/综合医院,未知
安徽省,黄山市,祁门县,祁门县人民医院,祁门县人民医院,公立/综合医院,二级甲等
